absolute; unconditional	绝对 jué duì 
abstract	抽象 chōu xiàng 
accomplishment; success; attain a result; achievement; CL:个	成就 chéng jiù 
accountant; accountancy; accounting	会计 kuài jì 
account (bank or online)	账户 zhàng hù 
a certain; sb or sth indefinite; some; such-and-such	某 mǒu 
a congregation; to gather; a set	集合 jí hé 
a course of lectures; CL:个	讲座 jiǎng zuò 
action; to move; operation; mobile; CL:个	行动 xíng dòng 
active; vigorous	活跃 huó yuè 
a decade of a century (e.g. the Sixties); age; era; period; CL:个	年代 nián dài 
adjustment; revision; CL:个	调整 tiáo zhěng 
admire	佩服 pèi fú 
a drop; to drip	滴 dī 
adult;	成人 chéng rén 
advantageous; to have advantages; favorable	有利 yǒu lì 
a fact; the fact that; CL:个	事实 shì shí 
after all; all in all; when all is said and done; in the final analysis	毕竟 bì jìng 
age; era; epoch; period; CL:个	时代 shí dài 
a given day (calendar); days of one's life; time	日子 rì zi 
agriculture; farming	农业 nóng yè 
a hundred million; 100,000,000; many	亿 yì 
a lesson; a moral; to chide sb; to lecture sb	教训 jiào xun 
all-around; comprehensive; total; overall	全面 quán miàn 
a loan; to provide a loan (e.g. bank); CL:笔[bi3]	贷款 dài kuǎn 
altogether; in sum; in all; in total	总共 zǒng gòng 
amazing; terrific; extraordinary	了不起 liǎo bu qǐ 
ambulance; CL:辆[liang4]	救护车 jiù hù chē 
amiable; friendliness; gracious; hospitality; intimate; cordial; kind; close and dear; familiar	亲切 qīn qiè 
ancient times; olden times	古代 gǔ dài 
an exit; to speak; to export; (of a ship) to leave port; CL:个	出口 chū kǒu 
angle; point of view	角度 jiǎo dù 
apartment building; block of flats; CL:套[tao4]	公寓 gōng yù 
a period in time or history; period; time (interval); phase; CL:个	时期 shí qī 
a person; a character (in a play, novel etc); a protagonist; CL:个	人物 rén wù 
a person's preferences; tastes (in food); flavor	口味 kǒu wèi 
a person's talent; talented person; distinguished person; a talent (worth head-hunting); person's looks; an attractive woman; used interchangeably with 人材; CL:个	人才 rén cái 
apex; crown of the head; top; roof; to carry on the head; to push to the top; to go against; most; to replace; to substitute; classifier for headwear, hats, veils etc; to agree or support (internet slang, similar to digg)	顶 dǐng 
apparently; to seem; to appear; as if; seemingly	似乎 sì hū 
appearance; phenomenon; CL:个	现象 xiàn xiàng 
appetite	胃口 wèi kǒu 
a public square (e.g. Tiananmen Square); plaza; CL:个	广场 guǎng chǎng 
a question; something not understood; to query; interrogative (gramm.); CL:个	疑问 yí wèn 
arduous; terrible (task); very difficult; formidable	艰巨 jiān jù 
art; fine arts; painting; CL:种[zhong3]	美术 měi shù 
articles for daily use; CL:件[jian4] ,个	日用品 rì yòng pǐn 
as before; still	依然 yī rán 
as for; as to; to go so far as to	至于 zhì yú 
ashamed; be ashamed	惭愧 cán kuì 
ash; dust; lime; gray; discouraged; dejected	灰 huī 
askew; at a crooked angle; devious; noxious	歪 wāi 
as much as possible; to the greatest extent	尽量 jìn liàng 
as quickly as possible; as soon as possible; with all speed	尽快 jǐn kuài 
as well as; too; and	以及 yǐ jí 
at any time	随时 suí shí 
at long last; finally; on the whole	总算 zǒng suàn 
atmosphere; mood	气氛 qì fēn 
at the instant sth happens; temporary; interim; ad hoc	临时 lín shí 
at the present time; currently	目前 mù qián 
authority; power	权力 quán lì 
automatic; voluntarily	自动 zì dòng 
average; on average; evenly; in equal proportions	平均 píng jūn 
awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly	可怕 kě pà 
background; backdrop; context; CL:种[zhong3]	背景 bèi jǐng 
back of neck; thing; item; classifier for principles, items, clauses, tasks, research projects	项 xiàng 
balance; equilibrium	平衡 píng héng 
balcony; porch	阳台 yáng tái 
bamboo; CL:棵[ke1] ,支[zhi1] ,根[gen1]	竹子 zhú zi 
banquet; feast; dinner party; CL:席[xi2] ,个	宴会 yàn huì 
bar; pub; saloon; CL:家[jia1]	酒吧 jiǔ bā 
basic; fundamental; main; elementary	基本 jī běn 
basin; flower pot; unit of volume equal to 12 斗 and 8 升, approx 128 liters; CL:个	盆 pén 
battery charger	充电器 chōng diàn qì 
battery; CL:节[jie2] ,组[zu3]	电池 diàn chí 
beach; sand bar; CL:片[pian4]	沙滩 shā tān 
bedroom; CL:间[jian1]	卧室 wò shì 
bee; honeybee; CL:只[zhi1] ,群[qun2]	蜜蜂 mì fēng 
be good at; be adept in	善于 shàn yú 
behavior; conduct; activity; action	行为 xíng wéi 
benefit; (in sb's) interest; CL:个	利益 lì yì 
besides; in addition; moreover; furthermore	此外 cǐ wài 
between-meal nibbles; snacks	零食 líng shí 
bilateral; both sides; both parties involved	双方 shuāng fāng 
blessings; wish well	祝福 zhù fú 
blind; groundlessly; foolishly; to no purpose	瞎 xiā 
blood; CL:滴[di1] ,片[pian4]	血 xuè 
boiled water; boiling water	开水 kāi shuǐ 
bone; strong character; CL:根[gen1] ,块[kuai4]	骨头 gǔ tou 
booklet; book; classifier for books	册 cè 
bookshelf; CL:个	书架 shū jià 
boss; keeper	老板 lǎo bǎn 
bright; clear; resonant; to shine; to show; to reveal	亮 liàng 
bright-colored; gaily-colored	鲜艳 xiān yàn 
building; to construct; Taiwan pr. jian4 zhu2; CL:个	建筑 jiàn zhù 
(business) card	名片 míng piàn 
(business) contract; CL:个	合同 hé tong 
(business etc) as usual	照常 zhào cháng 
business; trade; commerce	商业 shāng yè 
butterfly; CL:只[zhi1]	蝴蝶 hú dié 
by oneself; alone; on one's own	单独 dān dú 
calendar; CL:张[zhang1] ,本[ben3]	日历 rì lì 
cannot help; unable to bear	忍不住 rěn bu zhù 
can't say for sure; maybe	说不定 shuō bu dìng 
capable; competent	能干 néng gàn 
caption; subtitle	字幕 zì mù 
carpet; rug	地毯 dì tǎn 
carriage; CL:节[jie2]	车厢 chē xiāng 
cartoon; animation	动画片 dòng huà piān 
catalog; table of contents; directory (on computer hard drive); list; contents	目录 mù lù 
cautious; prudent	谨慎 jǐn shèn 
cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:个	洞 dòng 
center; heart (fig.); core; CL:个	中心 zhōng xīn 
centimeter	厘米 lí mǐ 
certificate; credentials	证件 zhèng jiàn 
chairman; director-general (of a company etc); CEO	总裁 zǒng cái 
chairperson; premier; chairman; CL:个,位[wei4]	主席 zhǔ xí 
challenge	挑战 tiǎo zhàn 
champion; CL:个	冠军 guàn jūn 
characteristic; distinguishing feature or quality	特色 tè sè 
charm; fascination; glamor; charisma	魅力 mèi lì 
check (bank); cheque; CL:本[ben3]	支票 zhī piào 
chemistry; chemical	化学 huà xué 
chest; bosom; heart; mind; thorax	胸 xiōng 
Chinese chess; CL:副[fu4]	象棋 xiàng qí 
Chinese set expression of 4 characters or two couplets of 4 characters each: expression often alluding to a story or historical quotation; idiom; proverb; saying; adage; set expression; CL:条[tiao2] ,本[ben3] ,句[ju4]	成语 chéng yǔ 
circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:个	圈 quān 
circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify	圆 yuán 
circumstances; situation; terrain (topography); CL:个	形势 xíng shì 
civilized; civilization; culture; CL:个	文明 wén míng 
classical	古典 gǔ diǎn 
classified as; to belong to; to be part of	属于 shǔ yú 
classifier for horses, mules and tissue; ordinary person	匹 pǐ 
classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc	颗 kē 
clip; clamp; tongs; folder; wallet	夹子 jiā zi 
clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926	派 pài 
close; familiar; intimate; closely (related); to foster close ties; to pay close attention	密切 mì qiè 
clothing; dress; costume; clothes; CL:身[shen1]	服装 fú zhuāng 
cloth; to declare; to announce; to spread; to make known	布 bù 
clown; disgraceful; surname Chou; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February); year of the Ox	丑 chǒu 
club (i.e. a group or organization); CL:个	俱乐部 jù lè bù 
coal	煤炭 méi tàn 
cold; indifferent	冷淡 lěng dàn 
collective; social; team; CL:个	集体 jí tǐ 
(coll.) mother's father; maternal grandfather;	外公 wài gōng 
(coll.) wife;	老婆 lǎo pó 
comb; CL:把[ba3]	梳子 shū zi 
commander; to command; to conduct; to direct; director; conductor (of an orchestra); CL:个	指挥 zhǐ huī 
commercial affairs; commercial; commerce; business;	商务 shāng wù 
(commercial) trade; CL:个	贸易 mào yì 
common sense; general knowledge; CL:门[men2]	常识 cháng shí 
communicate	沟通 gōu tōng 
communication; social intercourse	交际 jiāo jì 
compact disc; CD or DVD; CD ROM; CL:片[pian4] ,张[zhang1]	光盘 guāng pán 
company; firm; enterprise; corporation; CL:家[jia1]	企业 qǐ yè 
compassion; CL:片[pian4]	爱心 ài xīn 
composition; make-up; ingredient; element; component; one's social status; CL:个	成分 chéng fèn 
(computer) software	软件 ruǎn jiàn 
concentrated; dense	浓 nóng 
concept; idea; CL:个	概念 gài niàn 
conclusion; verdict; to conclude; to reach a verdict; CL:个	结论 jié lùn 
concrete; definite; specific	具体 jù tǐ 
condition; state; situation; CL:个	状况 zhuàng kuàng 
confused; dizzy; giddy; faint; swoon; to lose consciousness; to pass out	晕 yūn 
confused; flustered	慌张 huāng zhāng 
congratulations; greetings;	恭喜 gōng xǐ 
conscious; aware; on one's own initiative; conscientious	自觉 zì jué 
consequences; aftermath	后果 hòu guǒ 
considerate (of other people's needs)	体贴 tǐ tiē 
contempt; contemptuous; to despise; to scorn; scornful	轻视 qīng shì 
continuous; in a row; serial; consecutive;	连续 lián xù 
contradictory; contradiction; CL:个	矛盾 máo dùn 
contrast; ratio; CL:个	对比 duì bǐ 
control; to exercise control over; to contain	控制 kòng zhì 
convenient; as convenient; ordinary; plain; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards	便 biàn 
conveniently; without extra trouble; while doing it; in passing	随手 suí shǒu 
core; nucleus	核心 hé xīn 
corn; maize; CL:粒[li4]	玉米 yù mǐ 
counterpart; other person involved; opposite side; other side; receiving party	对方 duì fāng 
countless; numberless; innumerable	无数 wú shù 
county; PRC administrative division below prefecture 地地区[di4 qu4]; CL:个	县 xiàn 
courage; valor; (to have) the nerve	勇气 yǒng qì 
course; class; CL:堂[tang2] ,節[jie2] ,门[men2]	课程 kè chéng 
court of law; court	法院 fǎ yuàn 
cover; sheath; to encase; a case ; to overlap; to interleave; bend (of a river or mountain range, in place names); harness; classifier for sets, collections; tau (Greek letter Ττ)	套 tào 
coward	胆小鬼 dǎn xiǎo guǐ 
cozy; snug; comfortable	舒适 shū shì 
crafty; cunning; sly	狡猾 jiǎo huá 
crazy; frantic; madness; extreme popularity	疯狂 fēng kuáng 
crude; gruff; rough; coarse;	粗糙 cū cāo 
Curriculum Vitae (CV); résumé (resume); biographical notes	简历 jiǎn lì 
customs (i.e. border crossing inspection); CL:个	海关 hǎi guān 
daily; everyday	日常 rì cháng 
dark; gloomy; hidden; secret; muddled; obscure; in the dark	暗 àn 
data; numbers; digital	数据 shù jù 
date (calendar); CL:个	日期 rì qī 
Dear or beloved (way of starting a letter)	亲爱 qīn ài 
debate; argument; to argue over; CL:场[chang3] ,次[ci4]	辩论 biàn lùn 
deficient; owe; to lack; yawn	欠 qiàn 
definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box)	确定 què dìng 
degenerate; regress	退步 tuì bù 
degree (level or extent); level; CL:个	程度 chéng dù 
delusion; fantasy	幻想 huàn xiǎng 
department; branch; section; division; CL:个	部门 bù mén 
deposit; cash pledge	押金 yā jīn 
desert; CL:个	沙漠 shā mò 
destiny; fate; CL:个	命运 mìng yùn 
destruction; damage; to wreck; to break; to destroy	破坏 pò huài 
details; particulars	细节 xì jié 
determination; resolution; determined; firm and resolute; to make up one's mind; CL:个	决心 jué xīn 
developed (country etc); flourishing; to develop	发达 fā dá 
diagnosis; to diagnose	诊断 zhěn duàn 
difficult; hard; arduous	艰苦 jiān kǔ 
digest; digestion; digestive	消化 xiāo huà 
diplomacy; diplomatic; foreign affairs; CL:个	外交 wài jiāo 
direct; director (film etc)	导演 dǎo yǎn 
directly; straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters	直 zhí 
director; head; CL:個|个[ge4];	主任 zhǔ rèn 
disastrous damage; scourge; CL:个	灾害 zāi hài 
disastrous; desperately serious; extremely; exceedingly	不得了 bù dé liǎo 
discipline	纪律 jì lv4 
disparity; gap	差距 chā jù 
disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration	阵 zhèn 
distinctive feature; characteristic; diagnostic property; trait	特征 tè zhēng 
distinct; unique; having special characteristics	独特 dú tè 
distributed; to distribute	分布 fēn bù 
document; file; CL:份[fen4]	文件 wén jiàn 
domain; sphere; field; territory; area	领域 lǐng yù 
do not	勿 wù 
dormitory; dorm room; living quarters; hostel; CL:间[jian1]	宿舍 sù shè 
dragon; CL:条[tiao2]; imperial	龙 lóng 
drama; play; theater	戏剧 xì jù 
drawer	抽屉 chōu ti 
dry land (as opposed to the sea)	陆地 lù dì 
dust	灰尘 huī chén 
duty; obligation; commitment; volunteer duty; mandatory; voluntary; CL:项[xiang4]	义务 yì wù 
each other; one another	彼此 bǐ cǐ 
each; respective; apiece	各自 gè zì 
earlobe	朵 duǒ 
earring; CL:只[zhi1] ,对[dui4]	耳环 ěr huán 
earthquake	地震 dì zhèn 
easily; lightly; rashly;	轻易 qīng yì 
educational background; academic qualifications	学历 xué lì 
efficiency	效率 xiào lv4 
element; factor; CL:个	因素 yīn sù 
elephant; CL:只[zhi1]	大象 dà xiàng 
emblem; symbol; token; badge; to symbolize; to signify; to stand for	象征 xiàng zhēng 
emergency call; emergency (medical) treatment;	急诊 jí zhěn 
enemy; foe; CL:个	敌人 dí rén 
energy; power source; CL:个	能源 néng yuán 
energy	精力 jīng lì 
engineer; CL:个,位[wei4] ,名[ming2]	工程师 gōng chéng shī 
enthusiasm; zeal; zealous; zest; enthusiastic; ardent; warmhearted	热心 rè xīn 
equality; equal	平等 píng děng 
equipment; facilities; installations; CL:个	设备 shè bèi 
equivalent to; appropriate; considerably; to a certain extent; fairly	相当 xiāng dāng 
especially; particularly	格外 gé wài 
essence; nature; innate character; intrinsic quality	本质 běn zhì 
established; long (about culture, tradtition, history)	悠久 yōu jiǔ 
established practice; rule; customs; practices; fig. upright and honest; well-behaved; lit. compass and set square	规矩 guī ju 
esteemed guest; honored guest	嘉宾 jiā bīn 
ethnic Chinese; non-Chinese citizen of Chinese ancestry	华裔 huá yì 
Europe; European	欧洲 ōu zhōu 
evidence; proof; testimony	证据 zhèng jù 
evident; clear; obvious(ly)	显然 xiǎn rán 
examination paper; test paper; CL:份[fen4] ,张[zhang1]	试卷 shì juàn 
excessive; undue; overly	过分 guò fèn 
exchange rate	汇率 huì lv4 
excuse me	劳驾 láo jià 
expert; specialist; CL:个	专家 zhuān jiā 
exploit (a resource); open up (for development); to develop	开发 kāi fā 
exploit; make use of; to use; to take advantage of; to utilize	利用 lì yòng 
extensive; wide range	广泛 guǎng fàn 
extremely	极其 jí qí 
eyebrow; CL:根[gen1]	眉毛 méi mao 
(facial) expression; to express one's feelings; expression	表情 biǎo qíng 
facilities; installation	设施 shè shī 
factory; plant; CL:家[jia1] ,座[zuo4]	工厂 gōng chǎng 
fair; impartial	公平 gōng píng 
fairy tale; mythology; myth	神话 shén huà 
family; household; CL:户[hu4] ,个	家庭 jiā tíng 
famous brand	名牌 míng pái 
fan; CL:把[ba3]	扇子 shàn zi 
(fashion) model (loanword);	模特 mó tè 
fashion	时尚 shí shàng 
fatigue; wearily; weariness; weary	疲劳 pí láo 
fault; problem; defect; shortcomings; CL:个	毛病 máo bìng 
feeling; sentiment; CL:种[zhong3]	情绪 qíng xù 
finals (of a competition)	决赛 jué sài 
finger; CL:个,只[zhi1]	手指 shǒu zhǐ 
(finger) ring	戒指 jiè zhi 
firecrackers; a string of small firecrackers; CL:枚[mei2]	鞭炮 biān pào 
firm; resolute; determined	坚决 jiān jué 
first (in a list, as a party to a contract, in terms of quality etc); first of the ten heavenly stems 十天十天干[shi2 tian1 gan1]; (used for an unspecified person or thing); armor plating; shell or carapace; (of the fingers or toes) nail; bladed leather or metal armor (old); ranking system used in the Imperial examinations (old); civil administration unit (old)	甲 jiǎ 
first; primary; initial	最初 zuì chū 
fixed; set; regular	固定 gù dìng 
flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful	平 píng 
flexible; nimble; agile	灵活 líng huó 
flight of steps (leading up to a house); step (over obstacle); bench; fig. way out of an embarrassing situation	台阶 tái jiē 
fog; mist; CL:场[chang2] ,阵[zhen4]	雾 wù 
food; CL:种[zhong3]	食物 shí wù 
foodstuff; cereals; CL:种[zhong3]	粮食 liáng shi 
foolish; silly	傻 shǎ 
foolish; stupid; expressionless; blank; to stay	呆 dāi 
(for) a lifetime	一辈子 yí bèi zi 
forecast	预报 yù bào 
fork; CL:把[ba3]	叉子 chā zi 
formalities; procedures; CL:道[dao4] ,个	手续 shǒu xù 
form; shape; CL:个	形状 xíng zhuàng 
forthwith; immediate; prompt; promptly; straightway; thereupon; at once	立刻 lì kè 
fortunate; fortune; luck	幸运 xìng yùn 
fortunately; luckily	幸亏 xìng kuī 
frank (discussion); blunt; open	坦率 tǎn shuài 
freedom; free; liberty; CL:个	自由 zì yóu 
frequency; (television) channel	频道 pín dào 
from beginning to end; all along	始终 shǐ zhōng 
from now on; since then; henceforth	从此 cóng cǐ 
fruit (from work); results; gains	果实 guǒ shí 
full; abundant	充分 chōng fèn 
full of; brimming with; very full; permeated	充满 chōng mǎn 
function; capability	功能 gōng néng 
fundamental; basic; root; simply; absolutely (not); (not) at all; CL:个	根本 gēn běn 
funds; funding; capital	资金 zī jīn 
future outlook; prospects; journey	前途 qián tú 
future; tomorrow; approaching; coming; pending; CL:个	未来 wèi lái 
garage	车库 chē kù 
gas; gasoline; CL:升[sheng1]	汽油 qì yóu 
general office of a newspaper; newspaper office; CL:家[jia1]	报社 bào shè 
generous; tasteful; stylish; easy-mannered	大方 dà fāng 
gentle and soft; tender	温柔 wēn róu 
geography	地理 dì lǐ 
get along with each other	相处 xiāng chǔ 
glass; nylon; plastic; CL:张[zhang1] ,块[kuai4]	玻璃 bō li 
glossy; sleek; smooth	光滑 guāng hua 
glove; mitten; CL:双[shuang1] ,只[zhi1]	手套 shǒu tào 
glue	胶水 jiāo shuǐ 
gold	黄金 huáng jīn 
good and honest; kind-hearted	善良 shàn liáng 
good; commodity; merchandise; CL:个	商品 shāng pǐn 
good; favorable; well; fine	良好 liáng hǎo 
goods; merchandise; product; CL:个	产品 chǎn pǐn 
government; CL:个	政府 zhèng fǔ 
graceful; fine; elegant	优美 yōu měi 
gradually	逐渐 zhú jiàn 
green or blue; nature's color; greenish black; abbr. for Qinghai province 青海	青 qīng 
group; crowd; flock; herd; pack	群 qún 
gun; firearm; rifle; spear; CL:支[zhi1] ,把[ba3]	枪 qiāng 
haggle over price	讨价还价 tǎo jià huán jià 
handsome; brilliant; smart	英俊 yīng jùn 
handwork; manual	手工 shǒu gōng 
hard; able (person); stiff; strong; firm; to manage to do sth with difficulty; good (quality); able (person)	硬 yìng 
hard to avoid; difficult to escape from	难免 nán miǎn 
hardware	硬件 yìng jiàn 
hardworking; assiduous	刻苦 kè kǔ 
hardworking; diligent	勤奋 qín fèn 
hare; rabbit; CL:只[zhi1]	兔子 tù zi 
harvest; results; gains	收获 shōu huò 
hastily	急忙 jí máng 
hasty; hurried	匆忙 cōng máng 
have bad luck; be out of luck	倒霉 dǎo méi 
head; chief; first (occasion, thing etc); classifier for poems and songs	首 shǒu 
head; skull; brain; mental capability; CL:颗[ke1] ,个	脑袋 nǎo dài 
heartening (news); boost (morale); CL:个	鼓舞 gǔ wǔ 
heart (lit. and fig.); CL:颗[ke1] ,个	心脏 xīn zàng 
hero; heroic; CL:个	英雄 yīng xióng 
hey!; (interjection used to attract attention or to express surprise or disapprobation);	哎 āi 
high level; high grade; advanced; high-ranking	高级 gāo jí 
historical sites and scenic spots	名胜古迹 míng shèng gǔ jì 
hometown; native place; CL:个	家乡 jiā xiāng 
honest; sincere; open and guileless; naive	老实 lǎo shi 
(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.	光临 guāng lín 
hospitality; to treat guests well; to enjoy having guests; hospitable; friendly	好客 hào kè 
hot pepper; chili	辣椒 là jiāo 
household duties; housework	家务 jiā wù 
house pet	宠物 chǒng wù 
house; room; CL:间[jian1]	屋子 wū zi 
huge; great; mighty; large	伟大 wěi dà 
huge; immense; very large; tremendous; gigantic; enormous	巨大 jù dà 
humanity; human race; mankind	人类 rén lèi 
human life	人生 rén shēng 
human resources; personnel; human affairs; ways of the world; consciousness of the world; what is humanly possible; personnel matters; sexual awareness; sexual passion; facts of life	人事 rén shì 
hypothesis; conjecture; suppose that	假设 jiǎ shè 
ice cream;	冰激凌 bīng jī líng 
idle; free time; leisure	空闲 kòng xián 
illumination; light; radiance (esp. glory of Buddha etc); fig. bright prospect; openhearted	光明 guāng míng 
image; form; figure; visualization; vivid; CL:个	形象 xíng xiàng 
immediately; at once;	赶快 gǎn kuài 
immediately	立即 lì jí 
impatience; impatient	不耐烦 bú nài fán 
imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards	朝 cháo 
important; great; major; significant;	重大 zhòng dà 
(impose a) fine; penalty; fine (monetary)	罚款 fá kuǎn 
impressions; reflections; thoughts; CL:通[tong4] ,个	感想 gǎn xiǎng 
in advance; before the event; beforehand; prior	事先 shì xiān 
in a word; in short; in brief	总之 zǒng zhī 
in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day	一旦 yí dàn 
incidentally; occasional; occasionally; by chance; randomly	偶然 ǒu rán 
inclined; slanting; oblique; tilting	斜 xié 
independent; independence; to stand alone	独立 dú lì 
individuality; personality	个性 gè xìng 
individual; personal; oneself	个人 gè rén 
individual; specific; respective; just one or two	个别 gè bié 
industry; business	行业 háng yè 
industry; CL:种[zhong3]	工业 gōng yè 
inevitable; certain; necessity	必然 bì rán 
(informal) mother's mother; maternal grandmother	姥姥 lǎo lao 
ingenious; clever	巧妙 qiǎo miào 
in one's spare time; outside working hours; amateur; non professional; extra-curricular	业余 yè yú 
inquisitive; curious	好奇 hào qí 
insect; CL:只[zhi1] ,群[qun2] ,堆[dui1]	昆虫 kūn chóng 
insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen	淡 dàn 
instead; on the contrary; contrary (to expectations)	反而 fǎn ér 
instead; to replace; to substitute (X for Y, or a number in an algebraic expression)	代替 dài tì 
instructor; sports coach; trainer; CL:个,位[wei4] ,名[ming2]	教练 jiào liàn 
insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not	不足 bù zú 
insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4]	保险 bǎo xiǎn 
intact; complete	完整 wán zhěng 
intense; acute; fierce	激烈 jī liè 
intense; (violently) strong	强烈 qiáng liè 
interest (on a loan); CL:笔[bi3]	利息 lì xī 
interior; inside (part, section); internal;	内部 nèi bù 
(interjection to express agreement or recognition); to sigh	唉 āi 
Internet; network (computing, telecommunications, transport etc)	网络 wǎng luò 
interrelated; correlation; dependence; relevance; mutuality	相关 xiāng guān 
in the evening; when night falls; towards evening; at night fall; at dusk	傍晚 bàng wǎn 
intoxicated; drunk; addicted to	醉 zuì 
in turn; successively; one after the other; bit by bit	陆续 lù xù 
investment; to invest	投资 tóu zī 
in vogue; fashionable	时髦 shí máo 
invoice; receipt or bill for purchase	发票 fā piào 
island	岛屿 dǎo yǔ 
it can clearly be seen (that this is the case); it is (thus) clear; clear; visible	可见 kě jiàn 
item; project; sports event; CL:个	项目 xiàng mù 
it is said that; reportedly	据说 jù shuō 
(it's) no wonder (that...); (it's) not surprising (that)	难怪 nán guài 
jeans; CL:条[tiao2]	牛仔裤 niú zǎi kù 
jet lag; time lag; jet lag	时差 shí chā 
joint photo; group photo	合影 hé yǐng 
junior; primary	初级 chū jí 
just in case; if by any chance; contingency	万一 wàn yī 
keyboard	键盘 jiàn pán 
kindergarten; nursery school	幼儿园 yòu ér yuán 
kind; genus; type; category; variety; species; sort; class;	种类 zhǒng lèi 
king; CL:個|个[ge4];	国王 guó wáng 
lady; madam; CL:个,位[wei4]	女士 nv3 shì 
lane; alley; CL:条[tiao2]	胡同 hú tòng 
large building; edifice; mansion; CL:座[zuo4]	大厦 dà shà 
large scale; wide scale; broad scale	大型 dà xíng 
laughter; yawn; abbr. for Kazakhstan	哈 hā 
lawful; legitimate; legal	合法 hé fǎ 
learning; knowledge; academic; CL:个	学问 xué wèn 
learning; science; academic; CL:个	学术 xué shù 
lecture; to make a speech	演讲 yǎn jiǎng 
legend; folklore; tradition; it is said; they say that...	传说 chuán shuō 
leisure; relaxation; not working; idle	休闲 xiū xián 
letter (of the alphabet); alphabet; CL:个	字母 zì mǔ 
license; permit	执照 zhí zhào 
lid; to cover; canopy; to build	盖 gài 
life span; life expectancy	寿命 shòu mìng 
lightning; CL:道[dao4]	闪电 shǎn diàn 
