absolute; unconditional	绝对 jué duì 
to cut; to slice; tangent (math)	切 qiē 
to deal with; to cope	应付 yìng fu 
to declare; to announce; to proclaim	宣布 xuān bù 
to decline (an appointment, invitation etc)	推辞 tuī cí 
to decorate; decoration; decorative; ornamental	装饰 zhuāng shì 
to deep fry	油炸 yóu zhá 
to delay; to hold-up; to waste time; to interfere with	耽误 dān wu 
to delete; to cancel	删除 shān chú 
to deny; to declare to be untrue	否认 fǒu rèn 
to describe; description; appearance; look	形容 xíng róng 
to describe; to depict; to portray; description	描写 miáo xiě 
to disappear; to fade away	消失 xiāo shī 
to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme)	发挥 fā huī 
to disseminate; to give publicity to; propaganda; CL:个	宣传 xuān chuán 
to divorce; divorced from (one's spouse)	离婚 lí hūn 
to do business; to trade	营业 yíng yè 
to do; to make; to go in for; to set up; to get hold of; to take care of	搞 gǎo 
to download	下载 xià zǎi 
to drape over one's shoulders; to unroll; to split open; to spread out	披 pī 
to draw up; to formulate; to lay down; to draft	制定 zhì dìng 
to dream of; to hope in vain	梦想 mèng xiǎng 
to dry in the sun; to sunbathe; to share files (loan from 'share')	晒 shài 
to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid	干燥 gān zào 
to duplicate; to make a copy of; to copy; to reproduce; to clone	复制 fù zhì 
to ease; to help relieve (a crisis)	缓解 huǎn jiě 
to edit; to compile; editor; compiler	编辑 biān jí 
to educate; to nurture; to breed; to groom (for a position)	培养 péi yǎng 
to embody; to reflect; to incarnate	体现 tǐ xiàn 
to embrace; to hug; to hold in one's arms	拥抱 yōng bào 
to emphasize (a statement); to stress	强调 qiáng diào 
to engage in (business etc); to run; to operate	经营 jīng yíng 
to engineer; to create; to manufacture; to make	制造 zhì zào 
to enjoy; to live it up; pleasure; CL:种[zhong3]	享受 xiǎng shòu 
to enlighten; to explain and arouse interest; to inspire; inspiration; heuristic (attributively); to teach; CL:个	启发 qǐ fā 
to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy	娱乐 yú lè 
to equal; to be tantamount to	等于 děng yú 
to escape; to run away; to flee	逃 táo 
to establish; to set up; to be tenable; to hold water	成立 chéng lì 
to establish; to set up; to found; to build	建立 jiàn lì 
to evade; to avoid; to shirk; to escape;	逃避 táo bì 
to evaluate; to assess	评价 píng jià 
to exaggerate; overstated; exaggerated; hyperbole; (coll.) excessive; extreme; ridiculous;	夸张 kuā zhāng 
to exchange; to swap; to switch (telecom); commutative (math); to commute	交换 jiāo huàn 
to exercise; to keep fit; to work out; physical exercise;	健身 jiàn shēn 
to exert all one's strength	使劲儿 shǐ jìn r 
to exist; to be	存在 cún zài 
to expand; to enlarge; to broaden one's scope	扩大 kuò dà 
to experience for oneself	体验 tǐ yàn 
to experiment; experiments; CL:个,次[ci4]	实验 shí yàn 
to express thanks; grateful; moved to gratitude	感激 gǎn jī 
to extend; to spread; to popularize; CL:个	推广 tuī guǎng 
to face sth; to be confronted with	面临 miàn lín 
to fall behind; to lag (in technology etc); backward; to retrogress	落后 luò hòu 
to fall down; to slip and fall; to throw sb to the ground;	摔倒 shuāi dǎo 
to feel with the hand; to touch; to stroke; to grope; to feel (one's pulse)	摸 mō 
to feel wronged; to nurse a grievance; to cause sb to feel wronged	委屈 wěi qū 
to feign; to pretend	假装 jiǎ zhuāng 
to fight for; to strive for; to win over	争取 zhēng qǔ 
to fight over; to rush; to scramble; to grab; to rob; to snatch	抢 qiǎng 
to fish with a hook and bait	钓 diào 
to fit up; to renovate; to decorate; interior decoration;	装修 zhuāng xiū 
to float	飘 piāo 
to form; to make up; to compose	组成 zǔ chéng 
to form; to organize; class; section; classifier for sets, series, groups of people, batteries	组 zǔ 
to form; to take shape	形成 xíng chéng 
to freeze; to feel very cold; aspic or jelly	冻 dòng 
to frighten; to scare; to intimidate; to threaten	吓 xià 
tofu; bean curd	豆腐 dòu fu 
to give birth to a child; parturition; to produce; manufacture	生产 shēng chǎn 
to give one's respects; to send a greeting	问候 wèn hòu 
to go back and forth; to go to and fro	往返 wǎng fǎn 
to go bankrupt; to become impoverished; bankruptcy	破产 pò chǎn 
to go for; to engage in; to undertake; to deal with; to handle; to do	从事 cóng shì 
to go round a curve; to turn a corner; fig. a new direction	拐弯 guǎi wān 
to go sight-seeing; to tour; to visit; CL:次[ci4]	游览 yóu lǎn 
to grab; to catch; to arrest; to snatch; to scratch;	抓 zhuā 
to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)	把握 bǎ wò 
to grasp firmly; to pay special attention to; to rush in; to make the most of	抓紧 zhuā jǐn 
to grasp (often fig.); to control; to master; to know well; to understand sth well and know how to use it; fluency; to seize (initiative, opportunity, destiny)	掌握 zhǎng wò 
to grow	生长 shēng zhǎng 
to guard against; to exhort; to admonish or warn; to give up or stop doing sth; Buddhist monastic discipline; ring (for a finger);	戒 jiè 
to guide; to give directions; to direct; to coach; guidance; tuition; CL:个	指导 zhǐ dǎo 
to handle; to transact; to conduct	办理 bàn lǐ 
to handle; to treat; to deal with; to process; CL:个	处理 chǔ lǐ 
to hand over; to pass on sth; to gradually increase or decrease; progressively	递 dì 
to hate to do sth; to hate to part with; to begrudge	舍不得 shě bu de 
to hate; to regret	恨 hèn 
to have a part time job; to do manual work	打工 dǎ gōng 
to hear; news; well-known; famous; reputation; fame; to smell; to sniff at; surname Wen	闻 wén 
to hesitate	犹豫 yóu yù 
to hinder; to obstruct	妨碍 fáng ài 
to hit; to strike; to meet by accident; to run into; to bump against; to bump into	撞 zhuàng 
to hold a governmental office or post; to assume office of; to take charge of; to serve as	担任 dān rèn 
to hold concurrent posts; part-time; concurrent job; moonlighting	兼职 jiān zhí 
to hope for; look forward to	盼望 pàn wàng 
to hurry up; hurriedly	赶紧 gǎn jǐn 
to ignite; combustion; flaming; kindle	燃烧 rán shāo 
to ignite; to burn	着火 zháo huǒ 
to imagine; to fancy; CL:个	想象 xiǎng xiàng 
to imitate; to copy; to emulate; to mimic; model	模仿 mó fǎng 
to immigrate; to migrate; emigrant; immigrant	移民 yí mín 
to import; imported	进口 jìn kǒu 
to import; to input	输入 shū rù 
to improve; to make better; CL:个	改进 gǎi jìn 
to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)	促使 cù shǐ 
to infect; contagious	传染 chuán rǎn 
to inform; report; make known; speech; talk; lecture; CL:篇[pian1] ,份[fen4] ,个,通[tong4]	报告 bào gào 
to injure; to harm;	伤害 shāng hài 
to inquire	询问 xún wèn 
to insert; stick in; pierce; to take part in; to interfere; to interpose	插 chā 
to install; to erect; to fix; to mount; installation	安装 ān zhuāng 
to interview; to gather news; to hunt for and collect; to cover	采访 cǎi fǎng 
to invent; invention; CL:个	发明 fā míng 
to irritate; to provoke; to upset; to stimulate; to excite; irritant	刺激 cì jī 
to itch; to tickle	痒 yǎng 
to jeopardize; to harm; to endanger; CL:个	危害 wēi hài 
to keep; to maintain; to hold; to preserve	保持 bǎo chí 
to kill; to murder; to fight; to weaken or reduce; to smart (topolect); to counteract; (used after a verb) extremely	杀 shā 
to kiss; kiss; mouth	吻 wěn 
to know (through learning or by experience); to realize; experience; CL:个	体会 tǐ huì 
to lead; leading; leadership; leader; CL:位[wei4] ,个	领导 lǐng dǎo 
to lead to; to create; to cause; to bring about	导致 dǎo zhì 
to leak; to divulge; to leave out by mistake; waterclock or hourglass (old)	漏 lòu 
to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old);	靠 kào 
to lean against; to rely on; on the basis of; no matter (how, what etc); proof	凭 píng 
to leave out; omission	省略 shěng lüè 
to leave; to bid farewell to; to say good-bye to	告别 gào bié 
to lift (a ban or restriction); to open to the outside world (politics); to open for public use; to come into bloom (of flowers)	开放 kāi fàng 
to lock up; to lock; CL:把[ba3]	锁 suǒ 
to look at; to see	瞧 qiáo 
to look down upon; to despise	看不起 kàn bu qǐ 
to look forward to; to await; expectation	期待 qī dài 
to lose	失去 shī qù 
to love ardently; to adore	热爱 rè ài 
to love dearly	疼爱 téng ài 
to make a noise; noisy; to disturb by making a noise	吵 chǎo 
to make a speech; statement; utterance	发言 fā yán 
to make better; to improve; CL:个	改善 gǎi shàn 
to make clear; to make known; to state clearly; to indicate; known	表明 biǎo míng 
to make; to manufacture	制作 zhì zuò 
to mature; to grow; growth	成长 chéng zhǎng 
to meet; to welcome; to greet	迎接 yíng jiē 
to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反应, response or reaction	反映 fǎn yìng 
to miss; remember with longing; long to see again	想念 xiǎng niàn 
to miss (someone); to read (aloud); to study (a degree course); to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20)	念 niàn 
to move back; to decline; to move back; to withdraw	退 tuì 
to move; movement; migration; mobile; portable	移动 yí dòng 
to negate; negative (answer); CL:个	否定 fǒu dìng 
to neglect; to ignore	忽视 hū shì 
to negotiate; negotiation; talks; conference; CL:个	谈判 tán pàn 
tone; manner of speaking; mood; CL:个	语气 yǔ qì 
tone; note; a tone (on a Chinese syllable); CL:个	声调 shēng diào 
ton	吨 dūn 
too bad; how terrible; what bad luck; terrible; bad	糟糕 zāo gāo 
to observe; to watch; to survey; to examine; observation; view; perspective; CL:个	观察 guān chá 
tool; instrument; utensil; means (to achieve a goal etc)	工具 gōng jù 
to open (eye)	睁 zhēng 
to organize; organization; organized system; nerve; tissue; CL:个	组织 zǔ zhī 
tooth; dental; CL:顆|颗[ke1];	牙齿 yá chǐ 
to part company; to split up; to break up	分手 fēn shǒu 
to participate (in sth)	参与 cān yù 
to participate in; to invest in; to throw into; to put into; absorbed; engrossed;	投入 tóu rù 
to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually	分别 fēn bié 
to pass a test	及格 jí gé 
to pass away; to die	去世 qù shì 
to pass on; to communicate; to transmit	转告 zhuǎn gào 
to pause; to stop; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal	顿 dùn 
to pay particular attention to; exquisite; aesthetic	讲究 jiǎng jiu 
to pay the bill; to settle accounts	结账 jié zhàng 
to perfect; to make perfect; to improve	完善 wán shàn 
to persuade; to convince; to talk sb over	说服 shuō fú 
to pick up; to collect; to gather	捡 jiǎn 
to pile up; to heap up; pile (of things); a mass; heap; stack	堆 duī 
to pilot (ship, airplane etc); to drive	驾驶 jià shǐ 
to place an order; to book ahead	预订 yù dìng 
to possess; to have; equipped with; able to fulfill (conditions or requirements)	具备 jù bèi 
to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold	浇 jiāo 
to practice; field work	实习 shí xí 
to practice; to put into practice; to fulfill	实践 shí jiàn 
to praise; to acclaim; to commend; to compliment	称赞 chēng zàn 
to preserve; to maintain; to retain; to continue to have; to reserve; reservations; to hold back (approval or acceptance)	保留 bǎo liú 
to pretend; to attire; outfit; adornment; to adorn; to dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack	装 zhuāng 
to prevent; to block	阻止 zǔ zhǐ 
to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic	预防 yù fáng 
to print; printing	印刷 yìn shuā 
to prolong; to extend; to delay	延长 yán cháng 
to promote (an idea or cause); to advance; boost	促进 cù jìn 
to promote; to advocate	提倡 tí chàng 
to propagate; to disseminate; to spread	传播 chuán bō 
to prop up; to bear; to send away; to pay or draw money; to support; to sustain; to erect; to raise; branch; division; surname Zhi; classifier for rods such as pens and guns, for army divisions and for songs or compositions; watt, classifier for power of light bulbs	支 zhī 
to publish; to come off the press; to put out	出版 chū bǎn 
to publish; to issue; to put out; to issue (a statement);	发表 fā biǎo 
to pursue (a goal etc) stubbornly; to seek after; to woo	追求 zhuī qiú 
to put on display; to exhibit; exhibition; show; CL:个,次[ci4]	展览 zhǎn lǎn 
to put things back in order; to return to the correct path; in any event; come what may; whatever happens (I'm still sure it's right); anyway	反正 fǎn zhèng 
to quarrel; to have a row; CL:顿[dun4]	吵架 chǎo jià 
to question; to quiz; to grill	提问 tí wèn 
to raise; to hoist; to promote; metric liter (also written 公升); measure for dry grain equal to one-tenth (斗 dǒu)	升 shēng 
to reach; to achieve; to attain	达到 dá dào 
to reach; to arrive	到达 dào dá 
to react; to respond; reaction; response; reply; chemical reaction; CL:个	反应 fǎn yìng 
to receive (a visitor); to admit (allow sb to enter)	接待 jiē dài 
to receive (guests); to entertain; reception	招待 zhāo dài 
to recommend; recommendation	推荐 tuī jiàn 
to record (sound); sound-recording; CL:个	录音 lù yīn 
to recruit; to enroll	录取 lù qǔ 
to reflect on; to ponder over	思考 sī kǎo 
to reform; reform; CL:个	改革 gǎi gé 
to register (at a hospital); to send by registered mail	挂号 guà hào 
to register (one's name); to check in; enter one's name	登记 dēng jì 
to register; to enroll	注册 zhù cè 
to regret; regret; pity; sorry	遗憾 yí hàn 
to reinstate; to resume; to restore; to recover; to regain; to rehabilitate	恢复 huī fù 
to relate (a story or information); to tell or talk about; to recount; narration; telling; narrative; account	叙述 xù shù 
to repeat; to duplicate; CL:个	重复 chóng fù 
to replenish; to supplement; to complement; additional; supplementary; CL:个	补充 bǔ chōng 
to request; request; to ask; CL:个	请求 qǐng qiú 
to rescue; to save; to assist	救 jiù 
to resemble; similar; like; resemblance; similarity	相似 xiāng sì 
to resign	辞职 cí zhí 
to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear	挡 dǎng 
to respect; to revere; to honour	尊敬 zūn jìng 
to restrict; to limit; to confine; restriction; limit; CL:个	限制 xiàn zhì 
to revolve around; to center on (an issue)	围绕 wéi rào 
to rise (of prices, rivers)	涨 zhǎng 
to roll; to get away; to boil; get lost (imperative); take a hike	滚 gǔn 
to row; to paddle; profitable; worth (the effort); it pays (to do sth);	划 huà 
to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)	闯 chuǎng 
to satirize; to mock; irony; satire; sarcasm	讽刺 fěng cì 
to satisfy; to meet (the needs of)	满足 mǎn zú 
to scald; to burn; to iron; hot	烫 tàng 
to scold; abuse; CL:通[tong4] ,顿[dun4]	骂 mà 
to sculpt; to carve; musical instrument (old);	追 zhuī 
to search; to look for sth; to scour (search meticulously); to look sth up; internet search; database search	搜索 sōu suǒ 
to seek; to look for	寻找 xún zhǎo 
to seem; as if; alike; similar	仿佛 fǎng fú 
to seem; to look; to appear	显得 xiǎn de 
to sell; to market; sales	销售 xiāo shòu 
to sense; perception; to feel (through the senses); a feeling; an impression; an experience	感受 gǎn shòu 
to shake hands	握手 wò shǒu 
to shake; to rock; to row; to crank	摇 yáo 
to shed tears	流泪 liú lèi 
to shoot; to fire (a gun)	射击 shè jī 
to show; to demonstrate; to illustrate; to display; to demonstrate	显示 xiǎn shì 
to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc)	表现 biǎo xiàn 
to show; to take out and show to others; to display;	出示 chū shì 
to sign one's name; to make brief comments on a document; autograph; visa	签 qiān 
to skim over; to browse	浏览 liú lǎn 
to slip; to slide; smooth; slippery; cunning;	滑 huá 
to sneeze	打喷嚏 dǎ pēn tì 
to solicit; to seek; to request (opinions, feedback etc); to petition	征求 zhēng qiú 
to spend; to pass: to get through; to survive	度过 dù guò 
to spread; to circulate; to hand down	流传 liú chuán 
to sprinkle; to spray; to spill; to shed	洒 sǎ 
to stay up late or all night;	熬夜 áo yè 
to steal; to pilfer; to snatch; thief; stealthily;	偷 tōu 
to step on; to tread; to stamp; to press a pedal; to pedal (a bike)	踩 cǎi 
to stick; to affix; to adhere; to paste (as in cut, copy and paste)	粘贴 zhān tiē 
to stretch; to extend	伸 shēn 
to strive one's hardest; to spare no effort	尽力 jìn lì 
to strive; to struggle; to fight: struggle	奋斗 fèn dòu 
to struggle to get free; to strive to acquire; to make (money);	挣 zhēng 
to study hard; industrious (in one's studies); to make great effort; diligent	用功 yòng gōng 
to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately	吃亏 chī kuī 
to summarize; to generalize; briefly; CL:个	概括 gài kuò 
to sum up; to integrate; to synthesize; comprehensive; composite; synthesized; t	综合 zōng hé 
to sum up; to summarize; to conclude from facts; induction (method of deduction in logic)	归纳 guī nà 
to support with hand; to help sb up; to help	扶 fú 
to sustain injuries; wounded (in an accident etc); harmed	受伤 shòu shāng 
to take a break; to rest; to stop	歇 xiē 
to take a photograph; photography; to shoot (a movie)	摄影 shè yǐng 
to take (a photograph);to clap; to pat; to slap; fly-swatter; racket	拍 pāi 
to take a wife; to marry (a woman)	娶 qǔ 
to take care of; to treasure; to cherish; to love and protect	爱护 ài hù 
to take care; to look out	当心 dāng xīn 
to take charge of; to manage or direct; to preside over; to uphold; to stand for (eg justice); to host (a TV or radio program etc)	主持 zhǔ chí 
to take notes; keep the minutes; record; CL:个	记录 jì lù 
to take possession of; to occupy; to take up;	占 zhàn 
to take risks; to take chances; foray; adventure	冒险 mào xiǎn 
to take the initiative; to do sth of one's own accord; active; opposite: passive 被被动[bei4 dong4]; drive (of gears and shafts etc)	主动 zhǔ dòng 
to talk nonsense; drivel	胡说 hú shuō 
to tear open; to tear down; to tear apart; to open	拆 chāi 
to tear; to rip	撕 sī 
to tease; to play with	逗 dòu 
to threaten; to menace	威胁 wēi xié 
to throw; to fling; to swing; to leave behind; to throw off	甩 shuǎi 
to touch; to contact; access; in touch with	接触 jiē chù 
to touch; to meet with; to bump;	碰 pèng 
to trade; to carry out commercial activities; in business	经商 jīng shāng 
to train; to drill; training; CL:个	训练 xùn liàn 
to treat; to cure; medical treatment; cure	治疗 zhì liáo 
to treat; treatment	对待 duì dài 
to tremble; to shake; to shiver; to shudder; tremulous	发抖 fā dǒu 
to trust; to have confidence in	信任 xìn rèn 
to turn over; to flip over; to overturn; to rummage through; to translate; to decode	翻 fān 
to undertake; to assume (responsibility etc)	承担 chéng dān 
to unfold; to carry out; to be in full swing; to launch	展开 zhǎn kāi 
to unify; to unite; to integrate; unified	统一 tǒng yī 
to urge; to press; to prompt; to rush sb; to hasten sth; to expedite	催 cuī 
to use as an excuse; on the pretext	借口 jiè kǒu 
to use; to apply; application; applicable	应用 yìng yòng 
to use; to put to use	运用 yùn yòng 
to violate (a law)	违反 wéi fǎn 
to visit; to pay a call to	看望 kàn wàng 
to voice (an opinion); to express; to convey	表达 biǎo dá 
to vomit; to throw up	吐 tù 
to wave; to brandish; to wipe away; to command; to conduct; to scatter; to disperse	挥 huī 
to weigh; to state; to name; name; appellation; to praise	称 chēng 
to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex	绕 rào 
to work manually; manual labor	干活儿 gàn huó r 
to worry about	操心 cāo xīn 
to worry; to fret; to be anxious; to become sad	发愁 fā chóu 
to write an essay; composition (student essay); CL:篇[pian1]	作文 zuò wén 
to yell; to call; to cry; to shout	喊 hǎn 
tradition; traditional; convention; conventional; CL:个	传统 chuán tǒng 
tranquil; undisturbed; serene	平静 píng jìng 
transcending; high grade; super-; ultra-	超级 chāo jí 
transmitter-receiver; broadcasting station; radio station; CL:个	电台 diàn tái 
transparent; open (non-secretive)	透明 tòu míng 
transport; haulage; transit; CL:个	运输 yùn shū 
treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character	宝贝 bǎo bèi 
treatise; thesis; paper; CL:篇[pian1]; to discuss a paper or thesis (old)	论文 lùn wén 
treatment; pay; wages; status; salary	待遇 dài yù 
trend; tendency	趋势 qū shì 
truck; CL:辆[liang4]	卡车 kǎ chē 
true; real	真实 zhēn shí 
truth	实话 shí huà 
(try to) overcome (hardships etc); to conquer; to put up with; to endure	克服 kè fú 
tube; pipe; drinking straw; CL:根[gen1]	管子 guǎn zǐ 
type; category; genre; form; style;	类型 lèi xíng 
type; style	样式 yàng shì 
unanimous; identical (views or opinions)	一致 yí zhì 
unceasing; uninterrupted; continuous; constant	不断 bú duàn 
undergraduate course; undergraduate (adjective)	本科 běn kē 
unemployment	失业 shī yè 
unexpected; accident; mishap; CL:个	意外 yì wài 
unexpectedly; to one's surprise; go so far as to	居然 jū rán 
unfortunately; cannot help but; helpless; without choice; for lack of better option; grudgingly; willy-nilly; nolens volens; abbr. for 無可奈无可奈何[wu2 ke3 nai4 he2]	无奈 wú nài 
uniformly; same; all; without exception	一律 yí lv4 
unilateral; one-sided	片面 piàn miàn 
unimportant; not serious; it doesn't matter; never mind; it looks all right; but	不要紧 bú yào jǐn 
unit (as an entity); element; entrance number	单元 dān yuán 
unit (to measure); work unit (one's workplace); group of people as a whole; CL:个	单位 dān wèi 
unpeaceful; unstable; uneasy; disturbed; restless; worried	不安 bù ān 
until now; so far; to this day	至今 zhì jīn 
upright; centrally located; (of time or figure) exactly; precisely; correct; positive (maths); (of taste) pure	正 zhèng 
urgent; emergency	紧急 jǐn jí 
urgent; pressing	迫切 pò qiè 
use; application	用途 yòng tú 
usual; regular; ordinary; normal	通常 tōng cháng 
vague; indistinct; fuzzy	模糊 mó hu 
valuable; precious; value; treasure; set store by	宝贵 bǎo guì 
value; worth; fig. values (ethical, cultural etc); CL:个	价值 jià zhí 
vegetables; produce; CL:种[zhong3]	蔬菜 shū cài 
vibration	振动 zhèn dòng 
victory; CL:个	胜利 shèng lì 
vile; nasty; of very poor quality	恶劣 è liè 
vinegar; acid; jealousy (in love rivalry)	醋 cù 
virtue; morality; ethics; moral; CL:种[zhong3]	道德 dào dé 
virus	病毒 bìng dú 
vivid; lively	生动 shēng dòng 
vocabulary; list of words (e.g. for language teaching purposes)	词汇 cí huì 
vocational work; professionnal work; business CL:个	业务 yè wù 
voluntary; of one's own free will	自愿 zì yuàn 
volunteer	志愿者 zhì yuàn zhě 
waist; lower back; pocket; middle; loins	腰 yāo 
wait for; await	等待 děng dài 
wall; CL:面[mian4] ,堵[du3]	墙 qiáng 
warm (welcome etc)	热烈 rè liè 
warm	温暖 wēn nuǎn 
war; warfare; conflict; CL:场[chang2] ,次[ci4]	战争 zhàn zhēng 
way (of life); pattern; style; mode; manner; CL:个	方式 fāng shì 
weak; feeble; young; inferior; (following a decimal or fraction) slightly less than	弱 ruò 
wedding ceremony; wedding	婚礼 hūn lǐ 
weight; CL:个	重量 zhòng liàng 
well-behaved; (of a child) obedient; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal	乖 guāi 
well-cooked and soft; mushy; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly	烂 làn 
well-distributed; homogeneous; even	均匀 jūn yún 
what way; how; what	如何 rú hé 
wheat; CL:粒[li4]	小麦 xiǎo mài 
whole; entire; total	整个 zhěng gè 
whole entity; entire body; synthesis; as a whole (situation, construction, team etc); global; macrocosm; integral; holistic; whole	整体 zhěng tǐ 
wide; broad; lenient	宽 kuān 
width; roll; classifier for textiles or pictures	幅 fú 
window curtains	窗帘 chuāng lián 
wing; CL:个,对[dui4]	翅膀 chì bǎng 
wisdom; knowledge; intelligent; intelligence	智慧 zhì huì 
wish ; desire; CL:个	愿望 yuàn wàng 
woman	妇女 fù nv3 
worker; CL:个,名[ming2]	工人 gōng rén 
work (of art); opus; CL:部[bu4] ,篇[pian1]	作品 zuò pǐn 
wrap up; bind up; bundle; parcel; package; CL:个	包裹 bāo guǒ 
writing style; script; writing; written language; phraseology; CL:個|个[ge4];	文字 wén zì 
writing; written works	写作 xiě zuò 
(year) AD; Christian era	公元 gōng yuán 
year (in school, college etc); grade CL:把[ba3] ,个	年纪 nián jì 
young woman; young lady; girl; daughter; CL:个	姑娘 gū niang 
youth; youthfulness	青春 qīng chūn 
