store, shop	가게
Korean drama	한국드라마
Korean language	한국말
Korean people	한국사람
Korean language	한국어
Korean cuisine	한국요리
Hangul	한글
once	한번
Hanbok, Korean traditional clothes	한복
Korean cuisine	한식
Chinese character	한자
grandmother	할머니
grandfather	할아버지
sale, discount	할인
together	함께
pass	합격
always	항상
year, sun	해
overseas	해외
overseas trip	해외여행
cell phone, mobile phone	핸드폰
hamburger	햄버거
sunshine, sunlight	햇빛
happiness	행복
happy	행복하다
event	행사
waist, hip	허리
cash	현금
now, current	현재
brother (as seen from the younger brother)	형
big brother (honorific form)	형님
sibling	형제
No. ~	호
tiger	호랑이
Australia	호주
hotel	호텔
alone	혼자
home page	홈페이지
black tea	홍차
anger	화
artist, painter	화가
angry	화나다
get angry	화내다
Tuesday	화요일
restroom, toilet, lavatory	화장실
cosmetics	화장품
makeup	화장하다
confirm, check	확인하다
welcome	환영하다
patient	환자
company	회사
employee	회사원
grey	회색
conference	회의
crosswalk	횡단보도
after	후
Junior	후배
vacation, holiday	휴가
cell phone, mobile phone	휴대전화
holiday	휴일
toilet paper	휴지
trash can	휴지통
cloudy	흐리다
white color	흰색
power	힘
household account book	가계부
furniture store	가구점
near	가까이
to cultivate	가꾸다
poverty	가난
to be thin	가늘다
possibility, potentiality	가능
possibility	가능성
to be possible	가능하다
full	가득
to sink	가라앉다
to be itchy	가렵다
powder soap	가루비누
to distinguish	가리다
to indicate	가리키다
motionlessly	가만히
drought	가뭄
housework	가사
virtual	가상
gas	가스
humidifier	가습기
entry	가입
home appliances	가전제품
family	가정
being family-oriented	가족적
livestock	가축
value	가치
separately, each	각각
each one	각자
various	각종
interval	간격
eagerly	간절히
being indirect	간접적
signboard	간판
nursing	간호
to change	갈다
conflict	갈등
more and more	갈수록
to change clothes	갈아입다
sense	감각
to be twined	감기다
director	감독
moving (emotionally)	감동적
appreciation	감상
reduction	감소
emotion	감정
admiration	감탄
river water	강물
riverside	강변
teacher	강사
rain precipitation	강수량
lecture	강연
(the amount of) rainfall	강우량
lecture	강의
lecture hall	강의실
emphasis	강조
to be strong	강하다
to prepare	갖추다
to return, to reward	갚다
start of course (lecture)	개강
frog	개구리
naughty child	개구쟁이
to clear up	개다
opening ceremony	개막식
development	개발
opening, opening to the public	개방
being open	개방적
improvement	개선
individuality	개성
being characteristic	개성적
being personal	개인적
hosting (an event)	개최
being objective	객관적
guest room	객실
to be slim and long	갸름하다
that person	걔
transaction	거래
spider	거미
turtle	거북이
change	거스름돈
rejection	거절
lies	거짓
to go through	거치다
bubble	거품
worries	걱정거리
healthy diet	건강식
healthy food	건강식품
across	건너
to hand over, to start (a conversation)	건네다
solid ingredients of a soup	건더기
forgetfulness	건망증
construction	건설
batteries	건전지
dry	건조
architecture	건축
architect	건축가
rag	걸레
mopping	걸레질
steps	걸음
black	검다
inspection	검사
search	검색
search word	검색어
fear	겁
side, outside	겉
appearance	겉모습
besides, in addition	게다가
bulletin board	게시판
to be lazy	게으르다
game machine	게임기
barely, finally	겨우
encouragement	격려
to experience, to go through	겪다
to endure	견디다
being as a result	결과적
after all	결국
conclusion	결론
end (of a story)	결말
absence	결석
final game/round	결승전
decision	결심
never	결코
wedding anniversary	결혼기념일
wedding hall	결혼식장
humility	겸손
overlap	겹치다
warning	경고
career	경력
security	경비
security guard	경비원
management	경영
executive, CEO	경영자
business administration	경영학
case, circumstance	경우
competition	경쟁
competitiveness	경쟁력
economy	경제
economic power	경제력
being economic	경제적
economics	경제학
calculation, accounting	계산
cashier	계산대
check, bill	계산서
contract	계약
down payment	계약금
(written) contract	계약서
bank account	계좌
hierarchy	계층
planning	계획성
being planned, as planned	계획적
head, hill	고개
client, customer	고객
sweet potato	고구마
traditional Korean palace	고궁
high grade	고급
whale	고래
thankfulness	고마움
rubber shoes	고무신
rubber band	고무줄
worry, trouble	고민
confession	고백
hardship	고생
to be nutty	고소하다
high speed	고속
highway	고속도로
orphanage	고아원
unique	고유하다
notice	고지서
persistence	고집
pepper powder	고춧가루
upper floors	고층
pain	고통
difficulty	곤란
evenly	골고루
alley	골목길
to be annoying	골치가 아프다
bear	곰
natural curly hair	곱슬머리
here and there, everywhere	곳곳
utility charges	공공요금
public place	공공장소
joint	공동
community life	공동생활
construction	공사
to be polite	공손하다
performance hall	공연장
factory	공장
princess	공주
common	공통
common point	공통점
fear	공포
pollution	공해
overwork	과로
(class) subject	과목
waste (of use)	과소비
speed violation	과속
overeating	과식
as expected	과연
tutor lesson	과외
excessive drinking	과음
manager	과장
to exaggerate	과장하다
process	과정
task	과제
scientists	과학자
being scientific	과학적
audience	관객
to be unrelated	관계없다
the person concerned	관계자
tourism	관광
tourist	관광객
tourist attraction	관광지
viewing	관람
audience	관람객
relation	관련
relevance	관련성
management	관리
management room	관리실
idiom	관용어
observation	관찰
square, plaza	광장
for no reason	괜히
agony, distress	괴로움
to be distressed	괴로워하다
to be painful	괴롭다
to harass, to bully	괴롭히다
to be great, to be wonderful	굉장하다
extremely, to a great extent	굉장히
teacher	교사
suburbs	교외
education	교육
educator	교육자
pedagogy	교육학
teaching materials	교재
transportation	교통수단
transportation	교통편
overseas resident	교포
exchange	교환
a stingy person	구두쇠
to roll	구르다
purchase	구매
hole	구멍
distinction	구별
classification	구분
composition	구성
grill	구이
a job offer	구인
purchase	구입
structure	구조
rescue team	구조대
being specific	구체적
nation	국가
soup bowl	국그릇
domestic flights	국내선
(the country's) literature	국문학
soup bowl	국물
citizens	국민
traditional Korean music	국악
overseas resident	국외
international marriage	국제결혼
international flights	국제선
chrysanthemum	국화
army	군대
place	군데
to be thick	굵다
curiosity	궁금증
to be curious	궁금하다
to recommend, to offer	권하다
earrings	귀걸이
return (to home country)	귀국
ghost	귀신
to be valuable	귀중하다
to be bothersome, to be tedious	귀찮다
to be noble, to be rare, to be fine	귀하다
being regular	규칙적
swing	그네
girlfriend	그녀
shade	그늘
as it is	그대로
(but) still	그래도
so that	그래야
graph	그래프
therefore	그러니
and then	그러다가
hence	그러므로
and then	그러자
so, as such, like that	그러하다
(how to count trees), stump	그루
group	그룹
so, very, that	그리
to miss, to be nostalgic	그리워하다
then	그리하여
picture book	그림책
to be nostalgic, to be missed	그립다
to quit	그만두다
that much	그만큼
just	그저
by the way	근데
worker, laborer	근로자
work	근무
muscle	근육
oh well	글쎄
author	글쓴이
letter	글씨
letter	글자
to scratch	긁다
gold	금
gold medal	금메달
amount of money	금액
ban	금지
suddenly	급히
being positive, being affirmative	긍정적
machine	기계
commemoration	기념
memorial hall	기념관
anniversary	기념일
souvenir	기념품
function	기능
to crawl	기다
expectation	기대
prayer	기도
pillar	기둥
record	기록
basic	기본
being fundamental, being basic	기본적
donation	기부
joy, happiness	기쁨
skill, technique	기술
technician	기술자
memory	기억
to remember, to recall	기억나다
memory	기억력
company, corporation	기업
entrepreneur	기업인
energy, qi	기운
to tilt	기울이다
standard, criteria	기준
train station	기차역
train ticket	기차표
basic, fundamental	기초
travelogue, travel essay	기행문
symbol	기호
married	기혼
opportunity, change	기회
climate	기후
nervousness	긴장감
roadside	길가
street	길거리
lenth	길이
a custom/event to make Kimchi in winter	김장
to be deep	깊다
depth	깊이
to peel	까다
to have a high standard	까다롭다
to lay	깔다
forgetfully, with a blink	깜빡
clearly	깨끗이
to realize	깨닫다
to break	깨뜨리다
sesame salt	깨소금
to wake someone up	깨우다
sesame leaf	깻잎
to go out, to be extinguished	꺼지다
peel, skin	껍질
tail	꼬리
properly (without failure), faithfully	꼬박꼬박
summit, top	꼭대기
the last place	꼴찌
to be meticulous	꼼꼼하다
thoroughly, meticulously	꼼꼼히
flower vase	꽃병
quite	꽤
to decorate	꾸미다
steadily	꾸준히
to scold	꾸짖다
honey	꿀
honey bee	꿀벌
to dream	꿈꾸다
string	끈
to cut	끊다
to be cut	끊어지다
to be incessant, to be unceasing	끊임없다
to pull	끌다
finally, eventually	끝내
to interrupt	끼어들다
day by day	나날이
picnic	나들이
depends on	나름
remainder, surplus	나머지
(Korean style) seasoned vegetables	나물
leaf	나뭇잎
to go forward, to get involved	나서다
to move on	나아가다
to improve	나아지다
to display, to reveal	나타내다
doodle	낙서
fallen leaves	낙엽
stove, fireplace	난로
heater	난방
wings	날개
to fly	날다
day by day	날로
to blow away	날리다
skinny	날씬하다
to fly away	날아가다
to fly around	날아다니다
to fly in	날아오다
to fly up, to soar	날아오르다
to be old	낡다
men and women of all ages	남녀노소
gender equality	남녀평등
to remain, to be left	남다
southern	남부
male	남성
men's clothing	남성복
to heal	낫다
waste (of use)	낭비
to be unfamiliar	낯설다
to give birth	낳다
always	내내
to look down	내려다보다
underwear	내복
inside, internal	내부
being shy	내성적
content (of a container)	내용물
to kick out	내쫓다
stream, lake	냇가
excessive air conditioning syndrome	냉방병
to be generous	너그럽다
too~, very	너무나
to be enough, to be rich	넉넉하다
to dry, to expose to the air	널다
to widen	넓히다
to hand over	넘기다
to move on to	넘어가다
to overflow	넘치다
to be squared	네모나다
network	네트워크
age	년대
labor	노동
laborer	노동자
effort	노력
route, line	노선
elderly and physically handicapped	노약자
elderly	노인
an unmarried and old woman	노처녀
unmarried and old man	노총각
laptop	노트북
to be melt	녹다
voice recording	녹음
voice recorder	녹음기
(academic) paper	논문
to be amazing, to be remarkable	놀랍다
to make fun of	놀리다
play, game	놀이
playground	놀이터
guy	놈
joke	농담
farmer	농민
farmer	농부
agriculture	농사
pesticides	농약
crops	농작물
rural	농촌
height	높이
to increase	높이다
honorifics	높임말
to be placed	놓이다
to miss, to lose	놓치다
glance, attention	눈길
eye-level	눈높이
eye disease	눈병
snowstorm	눈보라
avalanche	눈사태
eyebrow	눈썹
wits, sense	눈치
to wear deeply	눌러쓰다
to be lazy, to be laid back	느긋하다
to be greasy	느끼하다
to increase (the number or volume)	늘리다
to stretch, to increase	늘어나다
to line up	늘어서다
to get old	늙다
to delay	늦추다
to approach, to come closer	다가오다
to visit	다녀가다
squirrel	다람쥐
to deal with	다루다
ironing	다림질
many	다수
to be varied	다양하다
next day	다음날
to be compassionate, to be kind	다정하다
to argue, to fight	다투다
fortune, luck	다행
fortunately	다행히
stage, step	단계
regular (customer)	단골
short term	단기간
to be solid, to be hard, to be strong	단단하다
(women's) short hairstyle	단발머리
protein	단백질
control, regulate (illegal action)	단속
to be simple	단순하다
simply	단순히
unit	단위
to be neat, to be organized	단정하다
group	단체
autumn leaves, maple	단풍
to change	달라지다
to run (to go)	달려가다
to run (to come)	달려오다
besides, differently	달리
running	달리기
moonlit night	달밤
to escape	달아나다
to be sweet	달콤하다
Korean style chicken dish	닭갈비
wall, fence, hedge	담
to be put in (a container)	담기다
to put in (a container)	담다
being in charge	담당
person in charge	담당자
to be pure, to be innocent	담백하다
tobacco fire	담뱃불
homeroom teacher	담임
answer	답
reply	답글
to be stuffy, to be suffocating	답답하다
answer	답변
to pull	당기다
for a while (from now on)	당분간
to be natural,to be justifiable,to be fair	당연하다
of course	당연히
immediately, for now	당장
to be done	당하다
to be embarrassed, to be bewildered	당황하다
mostly, usually	대개
large company	대기업
to touch	대다
to be great	대단하다
greatly	대단히
big city	대도시
mass, a large amount	대량
substitute	대리
door, gate	대문
in substitute	대신
rental	대여
rental charge	대여료
hospitality	대접
public	대중
public transportation	대중교통
public bath	대중목욕탕
countermeasures	대책
housecleaning	대청소
usually, in general	대체로
loan, lend	대출
president (of a country)	대통령
representative	대표
being representative, being typical	대표적
large size	대형
dance	댄스
furthermore, moreover	더구나
to get dirty	더러워지다
even more	더욱
heat, hotness	더위
to add on, to get worse	더하다
thanks (to someone)	덕
to throw	던지다
less, not yet	덜
to cut back	덜다
to get burned	데다
to bring	데려오다
to boil quickly	데치다
tool	도구
theft	도난
how on earth	도대체
thief	도둑
to escape, to run away	도망가다
books	도서
lunchbox	도시락
seal, stamp	도장
challenge	도전
on the way	도중
poison	독
influenza, flu	독감
independence	독립
room to oneself, solitary confinement	독방
an unmarried, single person	독신자
to be unique	독특하다
stone, rock	돌
to spin, to get around	돌다
to get returned	돌려받다
to return	돌려보내다
to return	돌려주다
to turn	돌리다
to take care	돌보다
stone pot	돌솥
to walk around	돌아다니다
to look back	돌아보다
to turn back	돌아서다
1st birthday	돌잔치
cave	동굴
colleague	동료
zoo	동물원
eastern part	동부
eastern and western	동서양
simultaneous	동시
oriental painting	동양화
video	동영상
being the same	동일하다
motion, action	동작
alumni	동창
alumni association	동창회
east coast	동해안
club	동호회
fairy tale	동화
children's book	동화책
as much as possible	되도록
to regain	되돌리다
to look back, to think back	되돌아보다
to revive	되살아나다
fear	두려움
to fear	두려워하다
two, three	두세
headache	두통
headache pill/medicine	두통약
to be dull	둔하다
to look around	둘러보다
to be round	둥글다
to be inferior, to be behind	뒤떨어지다
to flip	뒤집다
after-party	뒤풀이
the back view	뒷모습
back gate	뒷문
behind story	뒷이야기
back seat	뒷자리
finally	드디어
dry	드라이
dream	드림
to be rare	드물다
to be reassuring, to be reliable	든든하다
to tell (someone)	들려주다
to stop by	들르다
to be heard	들리다
to try hearing	들어보다
to listen (to someone)	들어주다
to spend (time, money)	들이다
register	등록
registration fee, tuition fee	등록금
registration card	등록증
lights, lamp	등불
disc, hernia	디스크
designer	디자이너
digital	디지털
to pluck, to pick, to get	따다
to follow (after someone)	따라다니다
therefore, hence	따라서
separately	따로따로
to question closely	따지다
perfectly, just	딱
to be hard, to be stiff	딱딱하다
another, other	딴
land, ground	땅
peanuts	땅콩
sometimes	때때로
now and then	때로
to float	떠오르다
to shiver, to shake	떨다
to tremble, to be shaken	떨리다
to drop	떨어뜨리다
to detach, to take away	떼다
word by word, letter by letter	또박또박
also	또한
similarly, in the same manner	똑같이
to be clever, to be smart	똑똑하다
to be clear	뚜렷하다
to make a hole	뚫다
to be fat	뚱뚱하다
to run	뛰어가다
to be superior	뛰어나다
to jump off	뛰어내리다
to jump over	뛰어넘다
to jump around, to run around	뛰어다니다
to run (to come)	뛰어오다
to rush out, to leap out	뛰쳐나가다
to become hot	뜨거워지다
unexpectedly	뜻밖에
zodiac	띠
lamp	램프
lemon	레몬
leisure sports	레포츠
lens	렌즈
car rental	렌터카
lottery	로또
robot	로봇
lobby	로비
roommate	룸메이트
rhythm	리듬
remote controller	리모컨
deadline, due date	마감일
mannequin	마네킹
garden	마당
section	마디
marathon	마라톤
to provide, to prepare	마련하다
indoor floor	마루
conclusion	마무리
magic	마술
mask	마스크
drug	마약
village	마을
as much as one wants	마음껏
as one wishes	마음대로
to make up one's mind	마음먹다
mindfulness	마음씨
to come face to face	마주보다
to meet (coincidentally)	마주치다
pick up	마중
being the same, in the same manner	마찬가지
as if, just like	마치
just happened to be	마침
finally	마침내
marketing	마케팅
supermarket	마트
insanely, do something without any order	막
the youngest	막내
to block	막다
rod, stick	막대기
last train	막차
encounter, meeting	만남
fountain pen	만년필
by any chance	만약
satisfaction	만족
satisfaction (feeling)	만족감
cartoon book	만화책
eldest daughter	맏딸
eldest son	맏아들
quarrel	말다툼
to stop (conflict)	말리다
the way one speaks	말투
to taste	맛보다
to break, to ruin	망가뜨리다
to be broken, to be ruined	망가지다
to hesitate	망설이다
to perish, to breakdown	망하다
dual-income family	맞벌이
greeting	맞이
to assemble	맞추다
to entrust	맡기다
to take over, to undertake	맡다
annually, every year	매년
monthly, every month	매달
attraction	매력
being attractive	매력적
soot	매연
spicy fish soup	매운탕
shop	매점
sold out	매진
medium	매체
to be sweet and spicy	매콤하다
ticket office	매표소
barefoot	맨발
bare hands	맨손
blind person	맹인
to tie	맺다
hair	머리카락
to stay	머무르다
to be not distant	머지않다
food	먹을거리
(animal) feed	먹이
to feed	먹이다
dust	먼지
far away	멀리
multimedia room	멀티미디어실
to stop	멈추다
to be fantastic, to be amazing	멋지다
bruise	멍
e-mail	메일
melody	멜로디
melon	멜론
daughter-in-law	며느리
side, noodles	면
duty-free shop	면세점
interview	면접
interviewer	면접관
interview test	면접시험
license	면허증
cheerfulness, brightness	명랑
to be cheerful, to be bright	명랑하다
noun	명사
famous place	명소
masterpiece, designer goods	명품
some, few	몇몇
native language	모국어
mosquito	모기
model	모델
sand	모래
model student	모범생
appearance	모습
vowel	모음
to be insufficient	모자라다
recruitment	모집
adventurous mind	모험심
model, figure	모형
to be thirsty	목마르다
pastor	목사
life	목숨
public bath	목욕탕
destination	목적지
target, goal	목표
to be unaware of, to not realize	몰라보다
secretly	몰래
to gather	몰려들다
to get crowded	몰리다
bodyweight	몸무게
gesture	몸짓
very, terribly	몹시
to be ugly	못생기다
weight	무게
indifference	무관심
to collapse, to be pulled down	무너지다
pattern	무늬
(performance) stage	무대
extreme heat (in summer)	무더위
tomb	무덤
to be hot and humid	무덥다
around (the time)	무렵
safely	무사히
to be scared	무서워하다
wireless	무선
no news	무소식
disregard, neglect	무시
unmanned, no person	무인
absolutely	무조건
rainbow	무지개
electronic transfer, ATM deposit	무통장 입금
to stay (at a hotel)	묵다
to bundle, to tie	묶다
stationery	문구
civilization	문명
grammar	문법
a visit to a sick person	문병
documents	문서
inquiry	문의
SMS, short messages, letters	문자
problem	문제점
literature	문학
cultural life	문화생활
cultural heritage	문화유산
being cultural	문화적
to put on, to get buried	묻히다
price	물가
fish	물고기
Korean cold noodle	물냉면
to bite	물다
to step back, to withdraw	물러서다
to pass on, to leave	물려주다
to be stung, to get bitten	물리다
water drop	물방울
liquid medicine	물약
question	물음
quality	물질
product, goods	물품
musical	뮤지컬
to slide	미끄러지다
to be slippery	미끄럽다
to procrastinate, to extend	미루다
smile	미소
seaweed	미역
seaweed soup	미역국
barber	미용사
beautiful woman	미인
to go mad, to be crazy	미치다
blind date	미팅
an unmarried, single person	미혼
lodge, a local hotel	민박
folklore	민속
folk play	민속놀이
folk song	민요
ethnic group	민족
to believe in	믿다
trust, faith	믿음
to be reliable	믿음직스럽다
to be trustworthy	믿음직하다
to push	밀다
to rush in, to be pushed into	밀려오다
millimeter	밀리미터
to hate, to be annoying	밉다
and	및
underline	밑줄
gourd	바가지
basket	바구니
outside, outdoor	바깥
needlework	바느질
needle	바늘
bottom, floor	바닥
to run out	바닥나다
seawater	바닷물
game of go	바둑
to look at	바라보다
idiot, stupid	바보
rock, stone	바위
virus	바이러스
wheels	바퀴
background, foundation	바탕
doctoral degree, Ph.D.	박사
box	박스
to be pleased, to be glad	반가워하다
return	반납
return date	반납일
opposite	반대
opposite word	반대말
opposite side	반대쪽
without fail, certainly	반드시
casual talk	반말
repeat	반복
introspection, self-contemplation	반성
reaction	반응
shiny, sparkly	반짝반짝
to shine, to glitter	반짝이다
refund	반품
to fall in love	반하다
to accept	받아들이다
footsteps	발걸음
discovery	발견
issuance	발급
development	발달
ballet	발레
invention	발명
ankle	발목
occurrence	발생
footprints	발자국
presenter	발표자
presentation	발표회
to reveal, to disclose	밝히다
to step on	밟다
all night, during the night	밤새
to stay up all night	밤새우다
rice bowl	밥그릇
appetite, the taste of rice	밥맛
table for having a meal	밥상
just now	방금
visit	방문
broadcasting company	방송사
method, style	방식
audience	방청객
interference, interruption	방해
direction	방향
(farm) field	밭
background	배경
belly button	배꼽
backpack	배낭
backpack trip	배낭여행
consideration	배려
spouse	배우자
cabbage	배추
battery	배터리
snake	뱀
to spit out	뱉다
habit, manner	버릇
to have bad manners	버릇없다
mushroom	버섯
button	버튼
translation	번역
number ticket	번호표
fine	벌금
to open, to spread	벌리다
honeycomb	벌집
range	범위
criminal, offender	범인
crime	범죄
law	법
court of law	법원
to take off (clothes)	벗기다
to get out	벗어나다
pillow	베개
bell	벨
belt	벨트
rice plant	벼
thunder	벼락
flea market	벼룩시장
wall-hanging	벽걸이
brick	벽돌
change, alter	변경
toilet bowl	변기
excuse	변명
constipation	변비
to change	변하다
change	변화
nickname	별명
something else, something that has changed	별일
a visit to a sick person	병문안
report	보고
(written) report	보고서
reporting/briefing session	보고회
storage	보관
storage room	보관실
example, sample	보기
bonus	보너스
the feeling of reward	보람
the fifteenth day of the calendar	보름
full moon	보름달
treasure	보물
to take care of	보살피다
supplement, acupuncture medicine	보약
deposit	보증금
replenishment	보충
insurance	보험
insurance money	보험금
insurance fee	보험료
protection	보호
fortune	복
lottery	복권
the day of the year to eat nourishing food	복날
corridor, hallway	복도
copy	복사
copy machine	복사기
review	복습
stomach ache	복통
main discussion topic	본론
the original literature	본문
highlights/fun things to see	볼거리
volume	볼륨
bowling	볼링
bowling gym	볼링장
errand	볼일
volunteer	봉사
volunteer person	봉사자
to be ashamed of	부끄러워하다
to be shy, to be ashamed	부끄럽다
burden, pressure	부담
to collide	부딪치다
to get collided	부딪히다
to feel jealous	부러워하다
to get broken	부러지다
to be envious of	부럽다
part	부분
advert	부사
injury	부상
injured person	부상자
department	부서
to be shattered	부서지다
rich person	부자
side effects	부작용
rich family	부잣집
being negative	부정적
being not enough, lacking	부족
carelessness	부주의
eagerly, diligently	부지런히
fan	부채
bouquet	부케
size, volume	부피
quantity	분량
separation	분리
garbage recycling	분리수거
to be distinct, to be clear	분명하다
clearly, explicitly	분명히
loss	분실
lost and found	분실물
pink color	분홍색
impossibility	불가능
to be impossible	불가능하다
economic depression	불경기
buddhism	불교
irregularity	불규칙
firework	불꽃놀이
defective product, misconduct	불량
dissatisfaction	불만
insomnia	불면증
illegal	불법
flame, light	불빛
to be pathetic	불쌍하다
anxiety	불안
an anxious feeling	불안감
to increase, to become bigger	불어나다
to be unkind	불친절
to burn	불태우다
inconvenience	불편
complaints	불평
unnecessary	불필요
misfortune	불행
to be red	붉다
to be crowded	붐비다
baked bread with red beans inside (street food)	붕어빵
to catch	붙잡다
to get caught	붙잡히다
buffet	뷔페
brand	브랜드
brake	브레이크
blind	블라인드
blog	블로그
comparison	비교
being comparative	비교적
vinyl	비닐
to be vacant, to be empty	비다
video camera	비디오카메라
even if	비록
obesity	비만
rain and wind, typhoon	비바람
to mix, to rub	비비다
Korean style cold noodles with spicy sauce	비빔냉면
emergency medicine	비상약
cost	비용
to make something empty	비우다
visa	비자
to illuminate	비추다
vitamin	비타민
to compare	비하다
rainy road	빗길
debt	빚
light	빛
to drop	빠뜨리다
to fall in love, to sink down	빠지다
all without exception	빠짐없이
to get red	빨개지다
to be taken away	빼앗기다
to take away	빼앗다
cheek	뺨
to be obvious, to be clear	뻔하다
to extend	뻗다
to pull out, to choose	뽑다
root	뿌리
to spray, to spread	뿌리다
incident	사건
way of thinking	사고방식
being sociable	사교적
to date	사귀다
to disappear	사라지다
to capture	사로잡다
desert	사막
death	사망
the dead, casualty, victim	사망자
wife (of a boss)	사모님
office	사무소
privacy	사생활
deer	사슴
fact	사실
business	사업
usage fee	사용료
how to use	사용법
sauna	사우나
appreciation gift, gift	사은품
cyber	사이버
to be in a good relationship	사이좋다
website	사이트
circumstances, situation	사정
photo studio	사진관
photo album	사진첩
puberty	사춘기
dialect	사투리
resignation	사표
society	사회
social life	사회생활
moderator, chairperson	사회자
being social	사회적
mountain summit	산꼭대기
pile	산더미
obstetrics and gynecology	산부인과
forest fire	산불
industry	산업
walking path	산책로
to keep someone alive, to bring someone to life	살리다
living	살림
to live	살아가다
to be saved	살아나다
to survive	살아남다
to come alive	살아오다
murder	살인
slightly, quietly	살짝
to get fat	살찌다
to explore, to observe	살펴보다
to explore, to observe	살피다
life	삶
to boil	삶다
grilled pork belly	삼겹살
Korean independence movement day	삼일절
to swallow	삼키다
prize, reward	상
shopping street, shopping district	상가
to have no relation	상관없다
regardless	상관없이
prize money, reward	상금
consultation, counseling	상담
counseling room	상담실
counselor	상담원
consultant	상담자
fairly, pretty	상당히
opponent	상대
opponent	상대방
the other person	상대편
imagination	상상
imagination	상상력
rise, increase	상승
common knowledge, common sense	상식
commerce	상업
being commercial	상업적
merchant	상인
store	상점
symbol	상징
to feel cool and fresh	상쾌하다
status	상태
label	상표
gift certificate	상품권
to get rotten, to get damaged	상하다
situation, status	상황
to dawn	새다
to be new	새롭다
stepmother	새어머니
to stay overnight	새우다
cutting line/que	새치기
new year	새해
to be eccentric, to be unique, to be new	색다르다
color	색상
to remember, to recall	생각나다
ginger tea	생강차
to emerge, to occur	생겨나다
appearance	생김새
omission, deletion	생략
straight hair	생머리
life	생명
production	생산
to be fresh	생생하다
live broadcast	생중계
daily necessities	생필품
cost of living, living stipend	생활비
quality of living	생활수준
three or four	서너
to hurry, to rush	서두르다
drawer	서랍
introduction	서론
signature	서명
western	서부
serving	서빙
gradually	서서히
to be sorry, to be remorseful	서운하다
to be clumsy, to be unskilled	서투르다
master's degree	석사
dinner	석식
oil, petroleum	석유
coal	석탄
to mix, to rub	섞다
line	선
sunglasses	선글라스
to be cool, to be chilly	선선하다
developed country	선진국
order of arrival	선착순
theory	설
persuasion	설득
no way	설마
manual	설명서
questionnaire	설문조사
questionnaire	설문지
even if, for example, diarrhea	설사
to be sorry, to be regrettable	섭섭하다
success	성공
performance, function	성능
catholic church	성당
statement, signature	성명
gender	성별
diligent	성실
adult	성인
adult diseases, lifestyle diseases	성인병
grades	성적
grade report card	성적표
plastic surgery	성형
being global, being worldwide	세계적
tax	세금
century	세기
to count	세다
generation	세대
sophistication	세련
washbasin, sink	세면대
toiletries, washing accessories	세면도구
seminar	세미나
triple, 3 times	세배
new year's money	세뱃돈
world	세상
years	세월
detergent	세제
laundry	세탁물
shirt	셔츠
shuttle bus	셔틀버스
thoughts, feelings	소감
blind date	소개팅
small scale	소규모
small theater	소극장
being passive	소극적
(sudden) shower/rain	소나기
young boy	소년
income	소득
hope	소망
sleeve	소매
pickpocketing	소매치기
rumors, reputation	소문
firefighter	소방관
fire department	소방서
firetruck	소방차
consumption	소비
consumer	소비자
novel	소설책
