store, shop	가게
minority, a small number	소수
sauce	소스
to be timid, to be cowardly	소심하다
way of use	소용
useless	소용없다
wish	소원
noise	소음
soju, a Korean liquor	소주
to be important	소중하다
valuably, carefully	소중히
digestion	소화
to be tricked	속다
proverb	속담
speed	속도
speed violation	속도위반
speed	속력
to be annoying, to be regretful, to be sad	속상하다
underwear	속옷
to deceive	속이다
palm	손바닥
hands and legs	손발
to be easy	손쉽다
grandson	손자
handle, rail	손잡이
trimming, repair	손질
to be honest	솔직하다
honestly, frankly	솔직히
skill, tricks	솜씨
money transfer	송금
iron	쇠
beef	쇠고기
show	쇼
shopping mall	쇼핑몰
shopping bag	쇼핑백
shopping center	쇼핑센터
pickup, collection	수거
hardship, hard work	수고
means, method	수단
water faucet	수도꼭지
quantity, amount	수량
completion ceremony	수료식
repair	수리
repair cost	수리비
sleep	수면
sleeping pills	수면제
lifespan	수명
seafood	수산물
prime minister	수상
repair (clothes)	수선
to repair (clothes)	수선하다
commission, fee, charge	수수료
import, income	수입
revision, crystal	수정
level	수준
collection	수집
export	수출
(money) check	수표
school excursion	수학여행
women's clothing	숙녀복
lodging, accomodating	숙박
accommodation fee	숙박비
accommodation	숙소
to get low, to bend low	숙이다
moment	순간
Sundubu soup	순두부찌개
drinking party	술자리
glasses, cup	술잔
bar	술집
to hide (something)	숨기다
to hide	숨다
numbers	숫자
forest	숲
buddhist monk	스님
by oneself	스스로
scanner	스캐너
style	스타일
stickers	스티커
soup	스프
speaker	스피커
slipper	슬리퍼
sorrow, sadness	슬픔
moisture	습기
humidity	습도
elevator	승강기
passenger	승객
victory	승리
passenger car	승용차
promotion	승진
riding, boarding	승차
visual sense	시각
era, generation	시대
attempt, trial	시도
sight	시력
to feel a chill, to be painfully cold	시리다
parent-in-law	시부모님
system	시스템
father-in-law	시아버지
mother-in-law	시어머니
intercity bus	시외버스
poet	시인
poetry collection, marriage (for women)	시집
to get married (for women)	시집가다
multimedia room	시청각실
audience, viewer	시청자
competition, match	시합
studying for an exam	시험공부
formula, method	식
familly	식구
grocery	식료품
plant	식물
botanical garden	식물원
food expenses	식비
diet	식생활
eating habits	식습관
appetite	식욕
cooking oil	식용유
vinegar	식초
food	식품
after a meal	식후
report	신고
to make someone wear (shoe)	신기다
new technology	신기술
to be mysterious, to be amazing, to be marvelous	신기하다
to be excited, to have fun	신나다
new city	신도시
groom	신랑
groom candidate	신랑감
newspaper company	신문사
newspaper	신문지
bride, father (christianity)	신부
identification document	신분증
new item	신상품
to be fresh	신선하다
new generation	신세대
credit, trust	신용
freshmen	신입생
new product	신제품
applicant	신청자
body	신체
new model	신형
signal	신호
newly married	신혼
newlyweds, newly-married couple	신혼부부
honeymoon	신혼여행
to put on, to pile on	싣다
yarn, thread	실
indoor	실내
ability	실력
disappointment	실망
implementation	실시
being practical	실용적
in fact, actually	실은
in fact, actually	실제
in fact, actually	실제로
disappearance, missing	실종
missing person	실종자
(put into) practice, action	실천
as much as one wants	실컷
silk	실크
failure	실패
experiment	실험
laboratory	실험실
to get sick of, to get tired of	싫증
to be serious	심각하다
to plant	심다
psychology	심리학
psychologist	심리학자
errand	심부름
to be bored	심심하다
heart	심장
heart disease	심장병
to be fresh, to be lively	싱싱하다
sink	싱크대
cheap thing	싸구려
fight	싸움
to be chilly	쌀쌀하다
twins	쌍둥이
to stack, to build	쌓다
to shoot	쏘다
to spill	쏟다
to spill, to pour, to fall heavily	쏟아지다
to be shy	쑥스럽다
to fall, to collapse	쓰러지다
trash can	쓰레기통
to be needless, to be useless	쓸데없다
uselessly, unreasonably	쓸데없이
to be lonely	쓸쓸하다
to cover	씌우다
Sireum, Korean Sumo	씨름
to be reliable, to be strong	씩씩하다
to be regrettable, to be precious	아깝다
to save, to be frugal	아끼다
announcer	아나운서
no	아니
child	아동
one's junior, one's subordinate	아랫사람
part-time job	아르바이트
Arirang (Korean traditional song)	아리랑
any, what	아무것
anyhow, whatever	아무래도
any sort of, in any way	아무런
no matter how	아무리
anyway	아무튼
frustration, regret	아쉬움
to be unsatisfied, to be sorry	아쉽다
username, ID	아이디
idea	아이디어
morning and evening	아침저녁
pain	아픔
nightmare	악몽
handshake	악수
fog	안개
ophthalmology	안과
announcement, notice	안내문
guidebook, handbook	안내서
information office	안내소
to fail, to not go well	안되다
master's bedroom	안방
news, regards	안부
complexion	안색
relief	안심
eye drop	안약
safety line	안전선
snack (served with alcoholic beverages)	안주
inside	안쪽
to feel sorry	안타깝다
to let/make someone sit down	앉히다
egg, ball	알
allergy	알레르기
to understand	알아듣다
to recognize	알아보다
to admit, to accept	알아주다
tablet medicine	알약
alcohol	알코올
cancer	암
future	앞날
to have something ahead	앞두다
before and after	앞뒤
(hair) bangs	앞머리
baby	애기
pet dog	애완견
pets	애완동물
lover	애인
love, affection	애정
after-sales service	애프터서비스
picture frame	액자
album	앨범
nighttime, during night	야간
night view	야경
overwork	야근
to be scolded	야단맞다
to scold	야단치다
outdoors	야외
picnic	야유회
to be weak	약하다
engagement	약혼
fiance	약혼자
to be calm, to be gentle	얌전하다
condiments, seasoning, spice	양념
nursing home	양로원
Yangban, nobility	양반
yielding, concession	양보
both	양쪽
this person	얘
to violate	어기다
already, so soon	어느새
to be such a one's thoughts	어떠하다
to be such a one's thoughts	어떡하다
difficulty, hardship	어려움
children	어린아이
Children's day	어린이날
Parent's day	어버이날
to be awkward	어색하다
anyway	어쨌든
coincidentally	어쩌다가
maybe, possibly	어쩌면
somehow	어쩐지
after all, any way	어차피
language	어학
language training	어학연수
vocabulary	어휘
billion	억
accent	억양
forcibly	억지로
mass media	언론
journalist	언론인
language	언어
someday	언젠가
to obtain	얻다
to get treated	얻어먹다
to freeze	얼다
stain	얼룩
to be fast, to be quick	얼른
to be strict	엄격하다
to be tremendous, to be enormous	엄청나다
work, job	업무
to get rid of, to dispose of	없애다
butt	엉덩이
to be strange, to be bizarre	엉뚱하다
wreck, mess, ruin	엉망
a few days ago	엊그제
energy	에너지
aids	에이즈
engine	엔진
membership training	엠티
leisure	여가
high school girl	여고생
hotel, inn	여관
acne	여드름
many	여럿
summer day	여름날
female	여성
women's clothing	여성복
spare, margin	여유
just as it was before	여전히
to ask politely	여쭈다
travel expenses	여행비
traveler	여행자
travel destination	여행지
being historical	역사적
as expected, after all	역시
role	역할
connection	연결
research	연구
research institute	연구소
research laboratory	연구실
theater	연극
delay, postponement, smoke, acting	연기
year	연도
communication	연락
end of the year	연말
new years holidays	연말연시
seniority, elder	연상
continuity	연속
serial drama, soap opera	연속극
training	연수
romance, courtship	연애
love marriage	연애결혼
couple	연인
extension	연장
performance	연주
concert	연주회
being a younger, younger person	연하
to be soft, to supple	연하다
annual fee	연회비
a very hot night	열대야
reading room	열람실
10 days	열흘
dyeing	염색
(Korean traditional) candy	엿
receipt	영수증
nutrition	영양
nutritional value	영양가
nutrients	영양분
nutrients	영양소
nutritional supplement	영양제
sales	영업
sales department	영업부
area	영역
eternally, everlastingly, forever	영원히
impact	영향
film director	영화감독
film festival	영화제
a neighbor, the house next door	옆집
(bank) deposit	예금
reservation, booking	예매
prevention	예방
forecast	예보
expectation	예상
art	예술
pre-view, preparation	예습
wedding hall	예식장
manner, etiquette	예의
past, old days	예전
manner, etiquette	예절
plans	예정
forecast	예측
old, ancient	옛
old story, old speech, old tale	옛말
to come and go	오가다
today	오늘날
entertainment	오락
to be old	오래되다
long time	오랜
to go up and down	오르내리다
right hand	오른손
orientation	오리엔테이션
pollution	오염
motorcycle	오토바이
opera	오페라
officetel(office + hotel)	오피스텔
misunderstanding	오해
rather	오히려
all~, entire	온
various kinds of	온갖
temperature	온도
Ondol (Korean traditional heating system)	온돌
room with Ondol	온돌방
online	온라인
whole-body	온몸
hot spring	온천
hot spring bath	온천욕
all, entire	온통
to raise, to post	올리다
olympic	올림픽
to be proper, to be honest	올바르다
to be correct	옳다
dress, clothing	옷차림
wine	와인
completion	완성
completely	완전히
king	왕
round trip	왕복
queen	왕비
for some reason	왠지
maternal	외가
surgery department	외과
diplomat	외교관
only daughter	외동딸
only son	외동아들
loan word, borrowed word	외래어
loneliness	외로움
appearance	외모
eating out	외식
only son	외아들
to memorize	외우다
to scream, to shout	외치다
yoga	요가
request	요구
yogurt	요구르트
recipe	요리법
chef	요리사
recently, these days	요새
summary	요약
request	요청
abusive language	욕
bathroom	욕실
greed	욕심
greedy person	욕심쟁이
dragon	용
courage	용기
pocket money, allowance	용돈
forgiveness	용서
honor prize	우등상
Korean language	우리말
well	우물
excellence	우수성
victory, championship	우승
to be graceful	우아하다
chance, accident	우연
coincidentally	우연히
depression	우울증
to be depressed	우울하다
friendship	우정
space	우주
space travel	우주여행
post	우편
post mail	우편물
mail delivery	우편배달
luck	운
fate	운명
driver	운전기사
driver's license	운전면허
driver	운전자
crybaby	울보
crying, tear	울음
superior, senior	웃어른
laughter	웃음
very, basically	워낙
manuscript	원고
originally	원래
studio apartment	원룸
principle	원리
application	원서
monkey	원숭이
cause	원인
end of month	월말
wedding dress	웨딩드레스
to be great	위대하다
consolation, comfort	위로
violation	위반
superior, senior	윗사람
outstandingly, especially	유난히
uniform	유니폼
cruise ship	유람선
being paid, being charged	유료
window glass	유리창
humor	유머
being famous	유명
historic site	유적지
to be fluent	유창하다
kindergarten	유치원
to be fun, to be cheerful	유쾌하다
buzzword	유행어
being carnivorous	육식
childcare	육아
game of Yut, Yunnori	윷놀이
silver	은
favor, grace	은혜
lunar calendar	음력
beverages, drink	음료
voice	음성
food and drink	음식물
restaurant	음식점
musical concert	음악회
drinking	음주
emergency room	응급실
response, answer	응답
respondents	응답자
examinee	응시자
cheering, support	응원
opinion	의견
consultation, discussion	의논
clothing	의류
obligation	의무
question	의문
communication	의사소통
clothing, costume	의상
clothing, food, and housing	의식주
doubt	의심
unexpectedly	의외로
motivation	의욕
significance, meaning, sense	의의
will	의지
to be based on	의하다
(field of) medicine	의학
being medical	의학적
this and that, various, everything	이것저것
being exotic, being foreign	이국적
to win	이기다
being selfish	이기적
to pull, to guide	이끌다
soon	이내
is	이다
move	이동
later	이따
at this time	이때
such, of this kind, of this sort	이러하다
this and that, various	이런저런
to accomplish, to achieve, to compose	이루다
to be achieved, to be composed of	이루어지다
to become famous	이름나다
name tag	이름표
this way	이리
here and there	이리저리
forehead	이마
this much of, at here	이만
this much	이만큼
already	이미
image	이미지
immigrants	이민
farewell	이별
blanket	이불
otorhinolaryngology, ENT	이비인후과
belongings when moving house	이삿짐
an ideal type of person	이상형
reason, the opposite sex	이성
to be connected	이어지다
earphone	이어폰
except, besides	이외
usage fee	이용료
user	이용자
neighborhood	이웃
neighbor	이웃집
profit	이익
interest	이자
before	이전
finally now	이제야
less than, below	이하
comprehension, understanding	이해력
compassion, understanding	이해심
divorce	이혼
afterward	이후
well-known, familiar	익숙하다
to boil, to learn	익히다
human	인간
relationships	인간관계
human nature	인간성
being human	인간적
human race	인류
greeting words	인사말
being impressive	인상적
life	인생
printing	인쇄
printed papers	인쇄물
instant food	인스턴트
number of people	인원
to be recognized, to be accepted	인정받다
ATM	인출기
intern	인턴사원
to result from, to be caused by, to be due to	인하다
diary	일기장
first of all, firstly	일단
first place	일등
ordinary	일반
ordinary people	일반인
being ordinary	일반적
part	일부
on purpose	일부러
daily life	일상
being daily	일상적
lifetime	일생
temporary	일시
lump-sum payment	일시불
to raise, to sit upright	일으키다
workplace	일자리
schedule	일정
to be uniform, to be constant	일정하다
sunrise	일출
disposable product	일회용품
to be read	읽히다
pregnant woman	임산부
temporary	임시
pregnancy	임신
deposit, payment on account	입금
appetite	입맛
lips	입술
entrance examination	입시
admission	입장
admission ticket	입장권
admission fee	입장료
entrance examination	입학시험
to dress someone up	입히다
to connect, to tie, to continue	잇다
leaf	잎
qualification	자격
license, certificate	자격증
being provocative, being stimulating	자극적
frequently	자꾸
child	자녀
automatic	자동
to grow up	자라다
boast, brag, showing off	자랑
archive, reference room	자료실
subtitles	자막
sisters	자매
suicide	자살
to be detailed, to be minute	자세하다
in detail	자세히
child, kid	자식
confidence	자신감
being natural	자연적
ultraviolet rays	자외선
resource	자원
consonant	자음
self-esteem, pride	자존심
living alone	자취
vending machine	자판기
writer	작가
composition	작곡
essay, writing	작문
writing lyrics	작사
to get smaller	작아지다
work, job, operation	작업
work, piece	작품
small money, small change	잔돈
grass	잔디
grass field	잔디밭
full, much	잔뜩
useless talk, idle talk	잔소리
balance	잔액
to lock (a door)	잠그다
to get locked, to submerged	잠기다
to fall asleep	잠들다
pajama	잠옷
dragonfly	잠자리
to eat (honorific)	잡수다
to prey on, to feed on	잡아먹다
Japchae (Korean food)	잡채
to get caught	잡히다
marriage (of men)	장가
to get married (of men)	장가가다
being long term	장기적
naughty, prank	장난
toy	장난감
mischievous kid	장난꾸러기
eldest son	장남
eldest daughter	장녀
advantages and disadvantages	장단점
future	장래
funeral	장례식
funeral hall	장례식장
shopping basket	장바구니
business	장사
disability	장애
disabled people	장애인
scholarship	장학
scholarship	장학금
reissue	재발급
wealth, property	재산
two years ago	재작년
talent, skills	재주
jazz	재즈
investment techniques	재테크
enrollment	재학
disaster	재해
remarriage	재혼
recycling	재활용
recycled goods	재활용품
that person	쟤
savings	저금
piggybank	저금통
to be cheap	저렴하다
scale (weight)	저울
storage, preservation	저장
being natural, being automatic	저절로
savings	저축
being enthusiastic, being active	적극적
installment savings	적금
to be appropriate	적당하다
appropriately	적당히
aptitude (for)	적성
at least	적어도
to get less	적어지다
adaptation	적응
to be suitable	적절하다
light bulb	전구
nationwide	전국
being national	전국적
electricity	전기
the day before	전날
delivery, conveyance	전달
subway train	전동차
lamp, light	전등
outlook	전망
expert	전문가
being professional	전문적
specialty shop	전문점
first half	전반전
all, entire	전부
computer room	전산실
security deposit system of housing	전세
rent house	전셋집
exhibition	전시
exhibition	전시회
power supply	전원
electron	전자
microwave	전자레인지
war	전쟁
subway, train	전철
entire	전체
being overall	전체적
tradition	전통
traditional culture	전통문화
being traditional	전통적
phone bell	전화벨
definitely, absolutely	절대로
half	절반
saving, frugality	절약
young people	젊은이
youth	젊음
to be well-mannered, to be gentle	점잖다
gradually, slowly	점점
gradually	점차
to fold, to quit	접다
reception	접수
to encounter, to come into contact	접하다
affection	정
being regularly	정기적
correct answer	정답
really	정말로
informatization	정보화
government	정부
normal	정상
being normal	정상적
sincerity, devotion	정성
with one's whole heart, elaborately	정성껏
mind, consciousness	정신
to be not in one's right mind	정신없다
hectically, frantically	정신없이
being mental	정신적
justice	정의
formal clothes, suits	정장
power outage	정전
stop	정지
to be honest	정직하다
stopping	정차
identity	정체
politics	정치
politician	정치가
politician	정치인
political science	정치학
to be accurate	정확하다
accurately	정확히
to get wet, to get soaked	젖다
offer	제공
properly	제대로
system	제도
on time	제때
please	제발
swallow	제비
ancestral rites, memorial service	제사
on time	제시간
suggestion	제안
student, disciple, follower	제자
original place	제자리
production	제작
submission	제출
product	제품
limit, restriction	제한
shellfish	조개
conditions	조건
assistant	조교
jogging	조깅
to tighten, to pester	조르다
cooking	조리
recipe	조리법
braised dish	조림
sooner or later	조만간
lighting, illumination	조명
seasoning	조미료
ancestor	조상
caution, carefulness	조심
adjustment	조절
pig's feet	족발
respect	존경
to doze	졸다
to be sleepy	졸리다
graduation ceremony	졸업식
sleepiness	졸음
easily, anytime soon	좀처럼
to narrow, to make something smaller	좁히다
religion	종교
paper cup	종이컵
from time to time, sometimes	종종
total, comprehensive	종합
seat	좌석
left and right	좌우
turn left	좌회전
residence	주거
to exchange	주고받다
anniversary/annual~	주년
wrinkles	주름
fist	주먹
purchase order	주문서
resident	주민
kitchen	주방
corporation	주식회사
to be given	주어지다
gas station	주유소
caution	주의
main character	주인공
assertion, captain	주장
subject, theme	주제
housing, residence	주택
residential area	주택가
death	죽음
to kill	죽이다
belongings	준비물
story, plot	줄거리
striped pattern	줄무늬
to decrease	줄어들다
to reduce, to shrink	줄이다
to pick up	줍다
middle	중간
agency	중개소
second hand	중고
second-hand car	중고차
second-hand goods	중고품
intermediate	중급
suspension	중단
central part	중부
small and medium-sized enterprises	중소기업
capital, hub	중심지
central part	중앙
importance	중요성
mouse	쥐
that is, which means	즉
joy, pleasure	즐거움
growth, rise	증가
certificate	증명서
symptoms	증상
to get tired, to get bored	지겹다
earth	지구
to pass by	지나가다
to be extreme, to be severe	지나치다
last year	지난해
to be boring	지루하다
roof	지붕
knowledge	지식
area	지역
hell	지옥
to erase	지우다
support	지원
supporter	지원자
status	지위
to be messy, to be dirty	지저분하다
point, branch	지점
earthquake	지진
expense, spending	지출
to be tired, to be exhausted	지치다
to watch, to take care	지켜보다
zipper	지퍼
conductor	지휘자
straight line	직선
worker	직장인
being direct	직접적
going straight	직진
immediately after	직후
truth	진실
sincerity	진심
really, truly	진짜
medical examination	진찰
painkiller	진통제
to be thick, to be dark	진하다
entrance to a higher educational institution	진학
progress	진행
chairperson	진행자
disease	질병
order	질서
jealousy	질투
disease	질환
beast	짐승
house price	집값
to grab	집다
housewarming party	집들이
rent	집세
family	집안
housework	집안일
landlord	집주인
concentration	집중
concentration	집중력
to be thick, to be dark	짙다
frustration	짜증
pair	짝
crush, one side love	짝사랑
even number	짝수
to be chased	쫓기다
to chase	쫓다
to kick out	쫓아내다
to chase around	쫓아다니다
all the time	쭉
to get fat	찌다
sauna	찜질
humid heat	찜통더위
to break, to tear	찢다
to be torn, to be ripped	찢어지다
rather	차라리
order	차례
to be calm, to be quiet	차분하다
difference	차이
differences	차이점
misunderstanding	착각
cold water	찬물
agreement	찬성
participation	참가
reference	참고
sesame oil	참기름
to endure	참다
attendance, participation	참석
participation	참여
tuna	참치
café, teahouse	찻집
window	창
shame, embarrassment	창피
to find out	찾아내다
to search around	찾아다니다
to look for	찾아보다
channel	채널
vegetarian	채식
vegetarian person	채식주의자
recruitment	채용
to satisfy, to fill in	채우다
online chat	채팅
to be in charge, to be responsible	책임지다
to pack, to prepare	챙기다
virgin	처녀
processing	처리
prescription	처방
prescription	처방전
heaven	천국
angel	천사
ceiling	천장
genius, natural disaster	천재
philosophy	철학
first day	첫날
first snow	첫눈
first love	첫사랑
first impression	첫인상
invoice	청구서
youth	청년
teenager	청소년
invitation	청첩장
marriage proposal	청혼
build, frame	체격
body temperature	체온
physical education	체육
gym	체육관
gymnastics	체조
bodyweight	체중
experience	체험
to stare, to look up	쳐다보다
beginner-level	초급
beginning, start	초기
invitation	초대장
beginner	초보자
invitation	초청장
gun	총
general affairs division	총무과
studio	촬영장
filming site	촬영지
recent	최근
maximum	최대
best	최선
latest	최신
minimum	최저
last, final	최종
the first	최초
last, final	최후
adding	추가
cold	추위
recommendation	추천
letter of recommendation	추천서
drawing lots	추첨
guess	추측
leaving a country	출국
on the way to work	출근길
output	출력
giving birth	출산
birth rate	출산율
birth	출생
attendance	출석
origin, affiliation	출신
access, enter	출입
immigration	출입국
commuting	출퇴근
publishing company	출판사
shock, impact	충격
advice	충고
collision	충돌
enough	충분하다
enough, sufficiently, fully	충분히
　　	취업
unemployment crisis	취업난
sleeping, going to bed	취침
to get drunk	취하다
~side	측
treatment medicine	치료제
size, measurement	치수
to clean up, to remove	치우다
cheese	치즈
biological mother	친어머니
being eco-friendly	친환경
saliva	침
bedroom	침실
compliment	칭찬
carnation	카네이션
cassette	카세트
car repair shop	카센터
caffeine	카페인
carpet	카펫
column, blank	칸
Korean style noodle	칼국수
to be very dark, to be pitch-dark	캄캄하다
campus	캠퍼스
camping	캠프
to be extremely big	커다랗다
to get bigger, to grow	커지다
curtain	커튼
couple	커플
computer room	컴퓨터실
to light up	켜지다
elephant	코끼리
corner	코너
comedy	코미디
comedian	코미디언
concert	콘서트
electrical outlet, socket	콘센트
bean sprouts	콩나물
quiz	퀴즈
main road	큰길
big money	큰돈
big voice, loud voice	큰소리
important matter	큰일
classic	클래식
click	클릭
to nurture, to make it bigger	키우다
type	타입
mask, disguise	탈
dressing room, fitting room	탈의실
Korean traditional mask dance	탈춤
boarding gate	탑승구
soup, juice	탕
attitude	태도
sun	태양
solar heat	태양열
to burn, to bake	태우다
delivery	택배
delivery fee	택배비
to burst, to happen suddenly	터지다
to shake off	털다
tape	테이프
tent	텐트
rabbit	토끼
discussion	토론
to vomit	토하다
statistics	통계
communication	통신
interpretation	통역
unification	통일
pain	통증
notice	통지서
phone call	통화
way back from home	퇴근길
being discharged from hospital	퇴원
retirement	퇴직
vote	투표
to fry, to bounce	튀기다
truck	트럭
specialty	특기
being special	특별
to be special	특별하다
specialty, regional product	특산물
to be durable, to be strong	튼튼하다
to be sure enough	틀림없다
definitely	틀림없이
crack, gap	틈
ticket	티켓
team leader	팀장
to dig down, to carve	파다
perm	파마
file	파일
Korean pancake	파전
sale	판매
seller	판매자
Korean style shaved ice	팥빙수
fashion show	패션쇼
fast food	패스트푸드
fax	팩스
fan	팬
to spread	퍼지다
convenience	편리
unbalanced diet	편식
to be comfortable	편안하다
convenience store	편의점
easily	편히
to spread	펼치다
evaluation	평가
average	평균
equal	평등
to be ordinary, to be usual, to be common	평범하다
forever	평생
usual day	평소
peace	평화
to be cozy	포근하다
to give up	포기
wine	포도주
point	포인트
wrapping paper	포장지
explosion	폭발
heavy snow	폭설
binge eating	폭식
heavy rain	폭우
waterfall	폭포
sign, mark	표시
facial expression	표정
display board	표지판
to be blue	푸르다
to be untied, to be relieved	풀리다
interpretation	풀이
quality	품질
landscape	풍경
to be rich, to be abundant	풍부하다
balloon	풍선
frying pan	프라이팬
programmer	프로그래머
printer	프린터
plastic	플라스틱
plug	플러그
fatigue	피로
skin	피부
dermatology	피부과
skin disease	피부병
summer vacation	피서
pianist	피아니스트
to avoid	피하다
damage	피해
victim	피해자
mandatory	필수
necessities	필수품
necessity	필요성
excuse	핑계
too, excessively	하도
as soon as possible, immediately, quickly	하루빨리
day by day	하루하루
one night	하룻밤
almost, nearly	하마터면
yawn	하품
department (at university)	학과
educational background	학력
academic field	학문
tuition fee	학비
learning, study	학습
scholar	학자
grade, credit	학점
to be leisurely, to be relaxed	한가하다
Korean studies	한국학
Hangul day	한글날
at once, together	한꺼번에
midday	한낮
at a glance	한눈
temporarily, for a while	한동안
one or two	한두
a word	한마디
for a moment	한순간
sigh	한숨
acupuncture medicine	한약
Hanok (traditional Korean architecture)	한옥
Korean beef	한우
doctor of traditional Korean medicine	한의사
Korean set meal	한정식
traditional Korean paper	한지
for a long time	한참
at its peak, in bloom	한창
on the other hand	한편
monthly installment plan	할부
discount store	할인점
thoughtlessly, mindlessly	함부로
successful candidate, winner	합격자
to sum, to match	합치다
to add	합하다
flight	항공
flight ticket	항공권
aircraft	항공기
airfare	항공료
airlines	항공사
flight	항공편
solution	해결
solution	해결책
layoff, discharge	해고
to accomplish, to achieve	해내다
sunrise	해돋이
to be harmful	해롭다
annual, every year	해마다
seafood	해물
to try, to attempt	해보다
seafood	해산물
solution	해소
solution	해소법
sea bathing	해수욕
beach	해수욕장
antipyretic	해열제
handbag	핸드백
new grain	햇곡식
sunlight	햇볕
action, behavior	행동
event hall	행사장
luck, fortune	행운
scent	향
fragrance	향기
perfume, nostalgia	향수
to head	향하다
permission	허락
belt, waistband	허리띠
to be rough	험하다
to wander, to get lost	헤매다
hairstyle	헤어스타일
to break up, to leave	헤어지다
to swim	헤엄치다
helmet	헬멧
sports club, gym	헬스클럽
entrance	현관
entrance door	현관문
present-day	현대
modern style	현대식
modern people	현대인
being modern	현대적
wise mother and good wife	현모양처
reality	현실
being realistic	현실적
on-site	현장
adjective	형용사
form	형태
situation, circumstances	형편
grace, blessing	혜택
favor	호감
curiosity	호기심
lake	호수
name	호칭
maybe	혹시
or	혹은
to get angry	혼나다
to scold	혼내다
confusion, mess, disorder	혼잡
odd number	홀수
public relations	홍보
promotion materials	홍보물
flood	홍수
to be fancy	화려하다
screen	화면
cargo	화물
flowerpot	화분
volcano	화산
burn, scald	화상
toilet paper	화장지
fire	화재
to be fine, to be clear, to be bright	화창하다
reconciliation, settlement, compromise	화해
to be sure	확실하다
environment	환경
ventilation	환기
refund	환불
being fantastic	환상적
farewell party	환송회
welcome party	환영회
exchange rate	환율
currency exchange	환전
seasonal change	환절기
activities	활동
being active	활동적
to be active	활발하다
utilization	활용
in full bloom	활짝
to be absurd, to be nonsensical, to be ridiculous	황당하다
yellow dust, asian dust	황사
~ times	～회
one's 60th birthday	회갑
recovery	회복
membership fee	회비
group dinner, drinking party	회식
member	회원
conference hall	회의장
president	회장
number of times	횟수
effect	효과
being effective	효과적
devoted daughter	효녀
being efficient	효율적
back gate	후문
later half	후반
second half	후반전
candidate	후보
dessert	후식
regret	후회
training	훈련
to be great, to be excellent	훌륭하다
to steal	훔치다
much, far, a lot	훨씬
gasoline	휘발유
holiday season	휴가철
break-out room, lounge	휴게실
mobile	휴대
mobile phone	휴대폰
rest	휴식
resort	휴양지
leave of absence (from school)	휴학
to flow, to run	흐르다
to shake	흔들다
to wave, to shake	흔들리다
to be common	흔하다
commonly, often	흔히
to spill, to shed	흘리다
soil	흙
smoking	흡연
interest	흥미
excitement	흥분
to be white	희다
hope	희망
applicant	희망자
victim	희생자
with all one's strength	힘껏
